Width,Height,Color,Text
20,20,l0r0,No Data
20,20,l0r1,18.0 - 21.2 
20,20,l0r2, 21.2 - 24.4 
20,20,l0r3, 24.4 - 27.6 
20,20,l0r4, 27.6 - 30.8 
20,20,l0r5, 30.8 - 34.0 
20,20,l0r6, 34.0 - 37.2 
20,20,l0r7, 37.2 - 40.4 
