letter	frequency	percent
0-50	2118	6.0
50-100	5109	14.6
100-150	5691	16.2
150-200	5552	15.8
200-250	4637	13.2
250-300	3833	10.9
300-350	2891	8.2
350-400	1758	5.0
400-450	1024	2.9
450-500	771	2.2
500-550	465	1.3
550-600	296	0.8
600-650	389	1.1
650-700	152	0.4
700-750	156	0.4
750-800	67	0.2
800-850	33	0.1
850-900	24	0.1
900-950	31	0.1
950-1000	16	0.0
1000+	83	0.2
