CA,TRIGGERTIME,INCIDENTTYPE,NUMSHOTS,LATITUDE,LONGITUDE
6D,2017-03-30 20:19:03.650,Multiple Gunshots,7,38.893,-76.959
7D,2017-03-30 20:05:59.877,Multiple Gunshots,4,38.836,-77.003
7D,2017-03-30 20:05:36.163,Multiple Gunshots,6,38.836,-77.003
7D,2017-03-30 11:42:34.483,Multiple Gunshots,3,38.835,-76.986
7D,2017-03-30 05:33:26.543,Single Gunshot,1,38.869,-76.98
6D,2017-03-30 03:50:13.143,Multiple Gunshots,4,38.877,-76.934
6D,2017-03-30 03:25:30.017,Single Gunshot,1,38.893,-76.929
5D,2017-03-30 03:20:36.300,Single Gunshot,1,38.906,-77.013
6D,2017-03-30 02:32:05.393,Single Gunshot,1,38.893,-76.949
6D,2017-03-30 01:13:36.610,Single Gunshot,1,38.893,-76.95
7D,2017-03-29 23:16:17.243,Multiple Gunshots,2,38.842,-76.996
6D,2017-03-29 22:57:28.430,Gunshot/Firework,1,38.902,-76.942
7D,2017-03-29 20:47:37.663,Single Gunshot,1,38.869,-76.98
6D,2017-03-29 18:55:55.780,Multiple Gunshots,3,38.876,-76.97
6D,2017-03-29 11:23:23.403,Multiple Gunshots,7,38.886,-76.937
7D,2017-03-29 11:04:45.650,Gunshot/Firework,1,38.86,-76.992
5D,2017-03-28 22:07:37.037,Single Gunshot,1,38.899,-76.973
7D,2017-03-28 15:45:51.617,Multiple Gunshots,7,38.851,-76.974
7D,2017-03-28 15:45:48.507,Multiple Gunshots,14,38.853,-76.979
7D,2017-03-28 15:45:45.417,Multiple Gunshots,13,38.85,-76.974
7D,2017-03-28 15:45:30.183,Multiple Gunshots,17,38.851,-76.974
1D,2017-03-28 05:58:16.387,Single Gunshot,1,38.887,-76.98
7D,2017-03-28 03:35:18.590,Multiple Gunshots,8,38.822,-77.008
7D,2017-03-28 03:29:45.130,Single Gunshot,1,38.849,-76.97
7D,2017-03-28 03:26:18.373,Multiple Gunshots,2,38.855,-76.976
6D,2017-03-28 03:24:28.100,Single Gunshot,1,38.905,-76.951
7D,2017-03-28 01:10:07.050,Single Gunshot,1,38.826,-76.989
3D,2017-03-28 00:16:36.060,Multiple Gunshots,4,38.937,-77.025
4D,2017-03-28 00:16:36.060,Multiple Gunshots,4,38.937,-77.025
6D,2017-03-27 23:15:45.597,Multiple Gunshots,2,38.898,-76.948
6D,2017-03-27 22:56:42.863,Multiple Gunshots,7,38.887,-76.937
7D,2017-03-27 21:55:47.257,Single Gunshot,1,38.837,-77.001
7D,2017-03-27 21:48:42.367,Multiple Gunshots,8,38.854,-76.969
6D,2017-03-27 20:47:55.367,Single Gunshot,1,38.875,-76.953
5D,2017-03-27 20:45:10.480,Gunshot/Firework,1,38.899,-76.977
7D,2017-03-27 19:34:52.167,Multiple Gunshots,23,38.831,-76.996
7D,2017-03-27 18:11:45.850,Single Gunshot,1,38.844,-76.985
7D,2017-03-27 18:11:36.160,Single Gunshot,1,38.843,-76.986
7D,2017-03-27 17:50:33.427,Single Gunshot,1,38.853,-76.966
1D,2017-03-27 17:13:25.957,Single Gunshot,1,38.875,-77.017
6D,2017-03-27 16:59:53.570,Multiple Gunshots,2,38.893,-76.925
7D,2017-03-27 03:04:21.930,Single Gunshot,1,38.844,-76.991
5D,2017-03-27 02:07:29.193,Single Gunshot,1,38.902,-76.979
5D,2017-03-27 02:05:21.670,Single Gunshot,1,38.902,-76.979
6D,2017-03-27 01:39:48.233,Multiple Gunshots,5,38.889,-76.955
7D,2017-03-26 22:56:42.280,Gunshot/Firework,1,38.866,-76.98
3D,2017-03-26 22:21:18.117,Single Gunshot,1,38.921,-77.025
7D,2017-03-26 21:50:17.487,Single Gunshot,1,38.842,-76.987
1D,2017-03-26 20:55:13.847,Multiple Gunshots,2,38.882,-77.017
6D,2017-03-26 04:09:33.480,Single Gunshot,1,38.88,-76.921
5D,2017-03-26 04:04:56.707,Single Gunshot,1,38.904,-77.009
5D,2017-03-26 03:07:47.990,Multiple Gunshots,3,38.921,-76.972
5D,2017-03-26 03:07:17.223,Single Gunshot,1,38.921,-76.972
5D,2017-03-26 03:06:22.537,Multiple Gunshots,2,38.921,-76.972
7D,2017-03-26 03:03:11.767,Multiple Gunshots,5,38.85,-76.968
6D,2017-03-26 02:51:30.550,Single Gunshot,1,38.898,-76.919
6D,2017-03-26 02:38:19.277,Multiple Gunshots,4,38.895,-76.923
5D,2017-03-26 02:05:33.727,Single Gunshot,1,38.905,-77.011
6D,2017-03-26 00:09:49.840,Single Gunshot,1,38.883,-76.921
7D,2017-03-25 23:19:39.263,Multiple Gunshots,4,38.832,-76.993
7D,2017-03-25 22:47:01.710,Multiple Gunshots,7,38.834,-76.987
7D,2017-03-25 22:45:52.813,Multiple Gunshots,3,38.834,-76.988
7D,2017-03-25 22:16:11.570,Gunshot/Firework,2,38.832,-76.994
7D,2017-03-25 21:10:55.290,Multiple Gunshots,4,38.835,-77.003
7D,2017-03-25 21:10:29.567,Multiple Gunshots,9,38.834,-77.002
7D,2017-03-25 21:10:24.557,Multiple Gunshots,22,38.832,-77.003
7D,2017-03-25 21:10:16.990,Multiple Gunshots,9,38.832,-77.002
7D,2017-03-25 20:20:00.677,Single Gunshot,1,38.836,-76.981
1D,2017-03-25 20:16:14.070,Gunshot/Firework,2,38.874,-77.011
7D,2017-03-25 20:04:49.947,Multiple Gunshots,8,38.859,-76.993
7D,2017-03-25 19:51:01.700,Multiple Gunshots,4,38.831,-77
7D,2017-03-25 19:01:21.467,Multiple Gunshots,4,38.87,-76.977
6D,2017-03-25 19:01:21.467,Multiple Gunshots,4,38.871,-76.977
4D,2017-03-25 16:01:25.760,Multiple Gunshots,4,38.946,-77.02
6D,2017-03-25 07:52:24.140,Multiple Gunshots,8,38.88,-76.925
6D,2017-03-25 04:08:58.783,Single Gunshot,1,38.9,-76.945
6D,2017-03-25 04:03:39.090,Single Gunshot,1,38.88,-76.932
6D,2017-03-25 03:23:51.607,Multiple Gunshots,4,38.879,-76.925
6D,2017-03-25 03:23:24.773,Multiple Gunshots,4,38.879,-76.924
7D,2017-03-25 00:10:55.513,Multiple Gunshots,6,38.855,-76.992
7D,2017-03-25 00:10:03.617,Single Gunshot,1,38.836,-77.003
6D,2017-03-24 23:11:11.077,Multiple Gunshots,2,38.893,-76.95
5D,2017-03-24 21:47:41.800,Gunshot/Firework,1,38.903,-76.98
6D,2017-03-24 20:53:49.143,Gunshot/Firework,2,38.892,-76.951
7D,2017-03-24 12:17:01.543,Single Gunshot,1,38.829,-77.002
3D,2017-03-24 07:19:54.917,Single Gunshot,1,38.917,-77.033
7D,2017-03-24 05:44:24.017,Single Gunshot,1,38.856,-76.981
6D,2017-03-24 03:41:51.570,Single Gunshot,1,38.869,-76.965
7D,2017-03-23 23:43:13.057,Single Gunshot,1,38.819,-76.998
7D,2017-03-23 23:41:24.643,Multiple Gunshots,8,38.819,-76.998
