CA,TRIGGERTIME,INCIDENTTYPE,NUMSHOTS,LATITUDE,LONGITUDE
5D,2016-12-01 19:27:58.823,Multiple Gunshots,14,38.911,-76.985
6D,2016-12-01 17:45:41.850,Multiple Gunshots,4,38.904,-76.93
6D,2016-12-01 17:45:12.687,Multiple Gunshots,2,38.904,-76.93
7D,2016-12-01 16:21:16.597,Multiple Gunshots,15,38.839,-76.998
6D,2016-12-01 15:06:38.347,Multiple Gunshots,6,38.899,-76.918
6D,2016-12-01 11:39:45.660,Gunshot/Firework,1,38.884,-76.941
6D,2016-12-01 08:35:32.003,Multiple Gunshots,2,38.904,-76.934
6D,2016-12-01 04:19:14.580,Multiple Gunshots,3,38.889,-76.964
7D,2016-12-01 01:04:03.897,Single Gunshot,1,38.849,-76.984
6D,2016-12-01 00:30:21.770,Multiple Gunshots,15,38.896,-76.94
7D,2016-11-30 22:59:00.403,Multiple Gunshots,3,38.819,-77.01
6D,2016-11-30 18:19:41.020,Multiple Gunshots,9,38.896,-76.914
3D,2016-11-30 17:35:46.590,Single Gunshot,1,38.918,-77.033
3D,2016-11-30 14:44:59.883,Multiple Gunshots,8,38.918,-77.016
5D,2016-11-30 14:44:59.883,Multiple Gunshots,7,38.918,-77.016
6D,2016-11-30 10:28:25.950,Gunshot/Firework,1,38.888,-76.931
5D,2016-11-30 00:26:32.503,Single Gunshot,1,38.919,-76.982
6D,2016-11-30 00:19:11.193,Multiple Gunshots,5,38.914,-76.937
6D,2016-11-30 00:07:38.643,Multiple Gunshots,2,38.905,-76.934
6D,2016-11-29 22:58:11.390,Multiple Gunshots,5,38.91,-76.936
6D,2016-11-29 22:58:10.753,Multiple Gunshots,10,38.91,-76.936
6D,2016-11-29 22:58:09.227,Multiple Gunshots,10,38.905,-76.934
6D,2016-11-29 22:58:05.587,Multiple Gunshots,9,38.91,-76.936
6D,2016-11-29 22:57:54.783,Multiple Gunshots,16,38.91,-76.936
6D,2016-11-29 22:54:43.943,Multiple Gunshots,3,38.888,-76.949
6D,2016-11-29 22:08:18.523,Multiple Gunshots,8,38.902,-76.938
6D,2016-11-29 22:08:14.397,Multiple Gunshots,8,38.905,-76.92
6D,2016-11-29 21:29:05.153,Multiple Gunshots,2,38.886,-76.95
5D,2016-11-29 21:25:57.597,Gunshot/Firework,2,38.922,-76.972
6D,2016-11-29 19:30:43.820,Multiple Gunshots,2,38.879,-76.948
6D,2016-11-29 17:57:53.903,Gunshot/Firework,1,38.863,-76.969
7D,2016-11-29 17:57:46.467,Single Gunshot,1,38.845,-76.976
6D,2016-11-29 17:25:05.537,Multiple Gunshots,8,38.887,-76.931
7D,2016-11-29 08:50:08.997,Multiple Gunshots,4,38.834,-76.983
6D,2016-11-29 02:02:54.063,Multiple Gunshots,3,38.879,-76.924
6D,2016-11-29 02:02:39.890,Multiple Gunshots,2,38.879,-76.925
7D,2016-11-29 00:46:30.103,Single Gunshot,1,38.825,-76.986
7D,2016-11-29 00:43:12.767,Multiple Gunshots,7,38.834,-76.986
7D,2016-11-29 00:29:44.177,Single Gunshot,1,38.835,-76.987
4D,2016-11-28 23:45:23.800,Gunshot/Firework,1,38.949,-77.013
6D,2016-11-28 23:20:57.767,Single Gunshot,1,38.893,-76.924
7D,2016-11-28 21:07:13.800,Single Gunshot,1,38.826,-76.999
4D,2016-11-28 21:03:41.807,Single Gunshot,1,38.945,-77.023
4D,2016-11-28 21:03:17.013,Gunshot/Firework,1,38.946,-77.022
6D,2016-11-28 19:33:48.180,Multiple Gunshots,8,38.878,-76.929
5D,2016-11-28 17:12:19.187,Single Gunshot,1,38.906,-76.977
6D,2016-11-28 15:14:43.990,Multiple Gunshots,10,38.895,-76.947
6D,2016-11-28 15:14:41.797,Multiple Gunshots,10,38.889,-76.947
6D,2016-11-28 15:14:39.657,Multiple Gunshots,14,38.886,-76.951
6D,2016-11-28 15:14:36.437,Multiple Gunshots,8,38.885,-76.949
6D,2016-11-28 15:14:32.663,Multiple Gunshots,15,38.886,-76.95
6D,2016-11-28 15:14:31.547,Multiple Gunshots,14,38.89,-76.947
6D,2016-11-28 15:14:25.417,Multiple Gunshots,28,38.887,-76.95
7D,2016-11-28 11:35:32.017,Multiple Gunshots,7,38.832,-76.988
7D,2016-11-28 03:19:15.200,Single Gunshot,1,38.826,-76.999
1D,2016-11-28 03:15:49.730,Multiple Gunshots,14,38.9,-76.99
5D,2016-11-28 03:15:43.450,Multiple Gunshots,22,38.908,-76.987
1D,2016-11-28 03:15:33.537,Multiple Gunshots,6,38.907,-76.987
5D,2016-11-28 03:15:32.350,Multiple Gunshots,21,38.908,-76.987
1D,2016-11-28 03:15:08.693,Multiple Gunshots,3,38.907,-76.987
5D,2016-11-28 03:15:07.167,Multiple Gunshots,3,38.908,-76.987
7D,2016-11-28 02:37:44.337,Multiple Gunshots,5,38.842,-76.985
7D,2016-11-28 00:06:20.930,Multiple Gunshots,15,38.843,-76.969
6D,2016-11-27 23:47:57.627,Multiple Gunshots,4,38.883,-76.917
5D,2016-11-27 23:37:30.747,Single Gunshot,1,38.924,-76.979
7D,2016-11-27 23:11:54.603,Single Gunshot,1,38.829,-76.985
6D,2016-11-27 22:46:02.713,Single Gunshot,1,38.889,-76.921
6D,2016-11-27 22:27:30.357,Single Gunshot,1,38.886,-76.951
4D,2016-11-27 18:43:38.203,Single Gunshot,1,38.938,-77.033
7D,2016-11-27 18:30:57.633,Single Gunshot,1,38.846,-76.996
3D,2016-11-27 18:07:10.957,Single Gunshot,1,38.907,-77.018
5D,2016-11-27 18:07:10.957,Single Gunshot,1,38.907,-77.018
7D,2016-11-27 17:33:06.910,Gunshot/Firework,1,38.838,-76.993
7D,2016-11-27 16:45:49.133,Single Gunshot,1,38.846,-76.975
6D,2016-11-27 04:31:19.770,Multiple Gunshots,2,38.869,-76.95
7D,2016-11-27 04:15:35.280,Single Gunshot,1,38.832,-77.008
7D,2016-11-27 03:34:38.917,Multiple Gunshots,4,38.862,-76.986
5D,2016-11-27 01:17:31.807,Multiple Gunshots,3,38.937,-76.968
5D,2016-11-27 01:17:17.913,Single Gunshot,1,38.938,-76.972
5D,2016-11-27 01:09:05.117,Multiple Gunshots,10,38.903,-76.983
1D,2016-11-27 01:09:04.850,Multiple Gunshots,10,38.901,-76.986
7D,2016-11-27 00:57:10.437,Multiple Gunshots,2,38.847,-77.004
6D,2016-11-26 23:47:34.467,Single Gunshot,1,38.888,-76.927
6D,2016-11-26 23:44:33.140,Multiple Gunshots,10,38.88,-76.932
6D,2016-11-26 23:44:29.947,Multiple Gunshots,10,38.88,-76.932
7D,2016-11-26 23:04:35.077,Single Gunshot,1,38.863,-76.987
7D,2016-11-26 22:10:29.197,Single Gunshot,1,38.844,-77.006
7D,2016-11-26 21:27:54.553,Multiple Gunshots,2,38.85,-76.973
4D,2016-11-26 21:07:41.280,Multiple Gunshots,4,38.949,-77.022
6D,2016-11-26 20:10:08.847,Multiple Gunshots,15,38.909,-76.937
6D,2016-11-26 20:10:03.017,Multiple Gunshots,4,38.909,-76.936
6D,2016-11-26 20:09:55.453,Multiple Gunshots,10,38.911,-76.936
1D,2016-11-26 18:48:01.180,Gunshot/Firework,2,38.897,-76.978
1D,2016-11-26 18:47:50.913,Gunshot/Firework,4,38.897,-76.978
1D,2016-11-26 17:36:46.423,Multiple Gunshots,3,38.894,-76.973
6D,2016-11-26 16:58:32.840,Multiple Gunshots,22,38.904,-76.924
6D,2016-11-26 16:55:44.847,Single Gunshot,1,38.886,-76.929
6D,2016-11-26 16:54:26.357,Single Gunshot,1,38.886,-76.929
7D,2016-11-26 13:33:26.490,Multiple Gunshots,4,38.847,-77.003
7D,2016-11-26 12:36:31.297,Multiple Gunshots,10,38.84,-76.99
7D,2016-11-26 11:27:46.953,Gunshot/Firework,1,38.827,-77
7D,2016-11-26 08:17:29.927,Multiple Gunshots,3,38.856,-76.973
7D,2016-11-26 08:14:40.503,Single Gunshot,1,38.857,-76.973
6D,2016-11-26 04:51:20.647,Single Gunshot,1,38.889,-76.963
7D,2016-11-26 04:30:59.807,Single Gunshot,1,38.847,-76.979
4D,2016-11-26 04:30:16.527,Single Gunshot,1,38.949,-77.022
7D,2016-11-26 03:05:03.513,Single Gunshot,1,38.834,-76.993
6D,2016-11-26 02:06:15.080,Multiple Gunshots,2,38.881,-76.937
6D,2016-11-26 01:21:58.650,Multiple Gunshots,6,38.876,-76.931
7D,2016-11-26 00:48:00.073,Multiple Gunshots,2,38.871,-76.971
7D,2016-11-26 00:24:22.603,Multiple Gunshots,2,38.827,-76.996
6D,2016-11-26 00:20:43.187,Single Gunshot,1,38.893,-76.938
6D,2016-11-26 00:09:12.157,Gunshot/Firework,1,38.886,-76.956
5D,2016-11-25 22:33:43.257,Multiple Gunshots,6,38.917,-77.015
3D,2016-11-25 22:33:43.190,Multiple Gunshots,6,38.917,-77.017
3D,2016-11-25 22:33:37.130,Multiple Gunshots,6,38.919,-77.016
5D,2016-11-25 22:33:37.130,Multiple Gunshots,6,38.919,-77.016
7D,2016-11-25 22:24:02.103,Single Gunshot,1,38.855,-76.971
7D,2016-11-25 22:04:53.020,Multiple Gunshots,4,38.84,-76.973
5D,2016-11-25 21:07:12.780,Gunshot/Firework,1,38.921,-76.984
6D,2016-11-25 20:59:12.017,Multiple Gunshots,2,38.905,-76.948
7D,2016-11-25 17:10:08.640,Multiple Gunshots,2,38.84,-76.971
4D,2016-11-25 14:26:05.117,Multiple Gunshots,3,38.939,-77.026
7D,2016-11-25 13:45:41.590,Multiple Gunshots,5,38.844,-76.982
6D,2016-11-25 01:22:04.350,Multiple Gunshots,5,38.883,-76.927
7D,2016-11-25 01:13:17.880,Single Gunshot,1,38.83,-76.995
6D,2016-11-25 00:22:40.577,Single Gunshot,1,38.891,-76.944
3D,2016-11-24 23:14:23.843,Single Gunshot,1,38.924,-77.034
7D,2016-11-24 22:30:17.520,Multiple Gunshots,4,38.827,-76.994
3D,2016-11-24 21:45:44.817,Multiple Gunshots,5,38.913,-77.029
3D,2016-11-24 20:12:55.670,Multiple Gunshots,2,38.919,-77.013
5D,2016-11-24 20:12:55.670,Multiple Gunshots,2,38.92,-77.01
6D,2016-11-24 19:51:22.060,Multiple Gunshots,3,38.884,-76.951
6D,2016-11-24 19:45:38.883,Multiple Gunshots,9,38.884,-76.955
5D,2016-11-24 05:19:12.557,Multiple Gunshots,2,38.901,-77.003
6D,2016-11-24 03:58:42.277,Single Gunshot,1,38.889,-76.932
6D,2016-11-24 03:54:40.457,Multiple Gunshots,4,38.876,-76.933
4D,2016-11-24 03:16:45.460,Single Gunshot,1,38.955,-77.029
7D,2016-11-24 02:39:59.043,Single Gunshot,1,38.833,-76.981
6D,2016-11-24 02:01:52.163,Multiple Gunshots,6,38.866,-76.968
1D,2016-11-24 02:01:39.187,Multiple Gunshots,11,38.891,-76.982
6D,2016-11-24 02:01:29.220,Multiple Gunshots,12,38.869,-76.967
7D,2016-11-24 00:30:10.783,Multiple Gunshots,2,38.828,-76.995
1D,2016-11-23 23:07:02.027,Multiple Gunshots,4,38.893,-76.979
6D,2016-11-23 23:06:54.010,Multiple Gunshots,6,38.892,-76.945
6D,2016-11-23 22:54:24.953,Multiple Gunshots,6,38.897,-76.918
7D,2016-11-23 21:37:21.973,Multiple Gunshots,8,38.851,-76.997
6D,2016-11-23 21:37:04.467,Multiple Gunshots,5,38.903,-76.933
6D,2016-11-23 19:46:34.773,Multiple Gunshots,19,38.889,-76.925
7D,2016-11-23 19:10:22.717,Single Gunshot,1,38.838,-77.003
7D,2016-11-23 19:06:11.470,Single Gunshot,1,38.863,-76.974
7D,2016-11-23 18:45:00.867,Multiple Gunshots,3,38.844,-76.993
7D,2016-11-23 17:08:38.303,Single Gunshot,1,38.846,-77.001
7D,2016-11-23 14:11:59.410,Gunshot/Firework,1,38.865,-76.981
7D,2016-11-23 13:36:08.237,Multiple Gunshots,12,38.833,-76.989
6D,2016-11-23 05:46:02.493,Multiple Gunshots,5,38.905,-76.926
7D,2016-11-23 04:35:49.600,Multiple Gunshots,5,38.849,-76.971
6D,2016-11-23 00:43:56.920,Multiple Gunshots,3,38.886,-76.952
1D,2016-11-23 00:43:22.570,Single Gunshot,1,38.874,-77.011
5D,2016-11-22 23:46:51.147,Multiple Gunshots,2,38.912,-76.986
6D,2016-11-22 21:50:59.100,Multiple Gunshots,5,38.888,-76.971
1D,2016-11-22 21:50:56.583,Multiple Gunshots,5,38.888,-76.971
7D,2016-11-22 20:39:22.420,Multiple Gunshots,10,38.849,-76.974
1D,2016-11-22 19:12:58.447,Multiple Gunshots,2,38.874,-77.012
5D,2016-11-22 13:59:49.660,Multiple Gunshots,8,38.906,-76.986
5D,2016-11-22 04:33:47.173,Single Gunshot,1,38.916,-76.986
7D,2016-11-22 03:46:34.127,Single Gunshot,1,38.855,-76.99
7D,2016-11-21 22:34:33.080,Single Gunshot,1,38.833,-77.006
4D,2016-11-21 22:18:25.647,Multiple Gunshots,11,38.94,-77.025
7D,2016-11-21 22:05:55.913,Single Gunshot,1,38.856,-76.979
7D,2016-11-21 21:21:53.763,Single Gunshot,1,38.844,-77
4D,2016-11-21 21:09:55.930,Single Gunshot,1,38.959,-77.028
7D,2016-11-21 20:17:35.290,Multiple Gunshots,2,38.839,-77
3D,2016-11-21 19:28:18.630,Multiple Gunshots,4,38.931,-77.028
6D,2016-11-21 17:21:23.140,Multiple Gunshots,3,38.905,-76.948
6D,2016-11-21 17:21:12.643,Single Gunshot,1,38.905,-76.948
7D,2016-11-21 11:49:11.373,Multiple Gunshots,8,38.84,-76.989
6D,2016-11-21 11:14:22.853,Multiple Gunshots,11,38.896,-76.919
7D,2016-11-21 02:44:56.807,Single Gunshot,1,38.857,-76.974
7D,2016-11-20 22:27:08.590,Multiple Gunshots,6,38.845,-76.971
7D,2016-11-20 19:09:48.970,Multiple Gunshots,5,38.84,-76.992
7D,2016-11-20 19:09:39.033,Multiple Gunshots,2,38.84,-76.992
7D,2016-11-20 18:55:31.957,Single Gunshot,1,38.859,-76.996
7D,2016-11-20 18:54:29.697,Single Gunshot,1,38.858,-76.996
3D,2016-11-20 06:58:46.063,Single Gunshot,1,38.918,-77.016
5D,2016-11-20 06:58:46.063,Single Gunshot,1,38.918,-77.016
6D,2016-11-20 06:31:59.637,Single Gunshot,1,38.889,-76.937
7D,2016-11-20 06:04:18.783,Multiple Gunshots,6,38.847,-76.976
7D,2016-11-20 06:04:12.393,Multiple Gunshots,2,38.848,-76.976
6D,2016-11-20 04:39:43.480,Single Gunshot,1,38.878,-76.966
6D,2016-11-20 04:39:32.240,Single Gunshot,1,38.878,-76.966
6D,2016-11-20 04:39:16.347,Single Gunshot,1,38.878,-76.966
6D,2016-11-20 04:38:32.553,Single Gunshot,1,38.878,-76.966
6D,2016-11-20 04:37:06.350,Multiple Gunshots,8,38.878,-76.966
4D,2016-11-20 04:03:32.190,Gunshot/Firework,1,38.954,-77.027
6D,2016-11-20 03:56:59.180,Multiple Gunshots,6,38.887,-76.924
6D,2016-11-20 03:56:54.673,Multiple Gunshots,6,38.886,-76.93
6D,2016-11-20 03:17:09.113,Single Gunshot,1,38.894,-76.948
5D,2016-11-20 02:56:44.027,Single Gunshot,1,38.928,-76.983
6D,2016-11-20 01:40:45.340,Single Gunshot,1,38.89,-76.919
1D,2016-11-20 01:09:42.180,Single Gunshot,1,38.877,-77.01
7D,2016-11-20 00:29:28.580,Single Gunshot,1,38.858,-76.986
3D,2016-11-19 23:41:10.017,Multiple Gunshots,13,38.925,-77.034
6D,2016-11-19 22:23:23.517,Multiple Gunshots,16,38.881,-76.926
7D,2016-11-19 22:18:14.697,Multiple Gunshots,5,38.847,-76.977
6D,2016-11-19 22:04:26.017,Single Gunshot,1,38.902,-76.948
7D,2016-11-19 21:43:12.550,Multiple Gunshots,13,38.863,-76.982
7D,2016-11-19 17:57:03.093,Gunshot/Firework,1,38.853,-76.979
7D,2016-11-19 17:54:21.547,Single Gunshot,1,38.853,-76.979
7D,2016-11-19 17:54:11.370,Multiple Gunshots,4,38.853,-76.979
7D,2016-11-19 15:06:46.273,Multiple Gunshots,3,38.85,-76.974
1D,2016-11-19 13:23:48.490,Multiple Gunshots,2,38.888,-76.983
6D,2016-11-19 07:27:36.420,Multiple Gunshots,3,38.882,-76.933
6D,2016-11-19 07:27:31.417,Multiple Gunshots,4,38.883,-76.933
6D,2016-11-19 07:27:19.357,Multiple Gunshots,7,38.883,-76.933
7D,2016-11-19 05:28:52.210,Gunshot/Firework,1,38.841,-76.997
6D,2016-11-19 04:40:31.343,Multiple Gunshots,6,38.884,-76.921
7D,2016-11-19 04:33:32.827,Multiple Gunshots,8,38.867,-76.973
6D,2016-11-19 04:33:30.743,Multiple Gunshots,9,38.866,-76.97
7D,2016-11-19 04:33:25.537,Multiple Gunshots,3,38.868,-76.971
6D,2016-11-19 04:31:58.467,Multiple Gunshots,10,38.868,-76.977
7D,2016-11-19 04:31:57.533,Multiple Gunshots,10,38.868,-76.979
1D,2016-11-19 03:53:31.467,Single Gunshot,1,38.9,-76.985
5D,2016-11-19 03:53:31.407,Single Gunshot,1,38.901,-76.985
6D,2016-11-19 02:06:35.750,Single Gunshot,1,38.891,-76.94
5D,2016-11-19 01:22:14.483,Multiple Gunshots,8,38.901,-76.969
7D,2016-11-19 01:12:11.527,Multiple Gunshots,2,38.863,-76.98
7D,2016-11-19 01:01:59.350,Multiple Gunshots,10,38.835,-77.011
7D,2016-11-18 23:58:09.083,Multiple Gunshots,4,38.831,-76.987
7D,2016-11-18 23:58:06.993,Multiple Gunshots,4,38.832,-76.988
7D,2016-11-18 22:36:31.140,Multiple Gunshots,3,38.855,-76.985
7D,2016-11-18 22:36:24.620,Multiple Gunshots,6,38.857,-76.987
7D,2016-11-18 20:42:06.233,Multiple Gunshots,6,38.848,-77.005
6D,2016-11-18 19:40:14.127,Multiple Gunshots,14,38.91,-76.936
6D,2016-11-18 17:49:25.767,Multiple Gunshots,15,38.863,-76.939
7D,2016-11-18 15:33:34.673,Multiple Gunshots,10,38.828,-77.005
7D,2016-11-18 13:34:49.957,Gunshot/Firework,1,38.853,-76.988
6D,2016-11-18 05:24:34.540,Gunshot/Firework,1,38.889,-76.945
7D,2016-11-18 04:16:32.723,Gunshot/Firework,1,38.855,-76.97
6D,2016-11-18 02:37:24.520,Single Gunshot,1,38.878,-76.931
4D,2016-11-18 01:49:24.363,Multiple Gunshots,6,38.965,-77.024
7D,2016-11-17 23:19:35.993,Single Gunshot,1,38.818,-76.999
6D,2016-11-17 22:30:56.017,Multiple Gunshots,4,38.87,-76.979
7D,2016-11-17 22:30:56.017,Multiple Gunshots,4,38.871,-76.978
7D,2016-11-17 22:25:53.657,Multiple Gunshots,6,38.867,-76.976
7D,2016-11-17 22:25:51.463,Multiple Gunshots,12,38.856,-76.969
7D,2016-11-17 22:25:50.577,Multiple Gunshots,12,38.864,-76.962
7D,2016-11-17 22:25:45.087,Multiple Gunshots,4,38.862,-76.973
6D,2016-11-17 22:25:41.613,Multiple Gunshots,15,38.87,-76.977
6D,2016-11-17 22:25:35.950,Multiple Gunshots,4,38.87,-76.977
7D,2016-11-17 22:25:35.950,Multiple Gunshots,6,38.87,-76.977
1D,2016-11-17 21:52:50.570,Multiple Gunshots,3,38.903,-76.988
5D,2016-11-17 21:52:50.337,Multiple Gunshots,3,38.906,-76.987
7D,2016-11-17 21:52:07.870,Multiple Gunshots,3,38.863,-76.98
6D,2016-11-17 21:24:53.677,Single Gunshot,1,38.898,-76.937
6D,2016-11-17 21:07:46.460,Multiple Gunshots,10,38.869,-76.945
4D,2016-11-17 21:01:07.410,Multiple Gunshots,3,38.955,-77.016
7D,2016-11-17 19:32:23.760,Multiple Gunshots,5,38.856,-76.99
7D,2016-11-17 19:32:18.887,Multiple Gunshots,7,38.856,-76.99
7D,2016-11-17 19:15:05.840,Multiple Gunshots,5,38.846,-76.983
5D,2016-11-17 14:15:24.367,Multiple Gunshots,5,38.903,-76.98
5D,2016-11-17 14:15:17.350,Multiple Gunshots,6,38.898,-76.981
1D,2016-11-17 14:15:16.483,Multiple Gunshots,12,38.898,-76.981
6D,2016-11-17 04:09:32.607,Single Gunshot,1,38.898,-76.92
6D,2016-11-17 03:08:25.107,Single Gunshot,1,38.886,-76.922
5D,2016-11-17 01:29:58.480,Single Gunshot,1,38.933,-76.966
5D,2016-11-17 01:23:14.320,Single Gunshot,1,38.933,-76.966
7D,2016-11-16 23:48:42.070,Single Gunshot,1,38.829,-76.998
6D,2016-11-16 21:31:21.063,Gunshot/Firework,1,38.885,-76.959
6D,2016-11-16 21:24:00.710,Multiple Gunshots,9,38.904,-76.918
7D,2016-11-16 20:07:18.553,Multiple Gunshots,6,38.866,-76.978
5D,2016-11-16 19:17:33.530,Multiple Gunshots,2,38.934,-76.982
4D,2016-11-16 17:32:04.560,Single Gunshot,1,38.946,-77.022
6D,2016-11-16 16:44:22.297,Single Gunshot,1,38.896,-76.958
7D,2016-11-16 10:23:20.127,Multiple Gunshots,2,38.855,-76.985
6D,2016-11-16 06:13:17.750,Multiple Gunshots,3,38.876,-76.939
6D,2016-11-16 06:09:56.010,Multiple Gunshots,3,38.874,-76.948
6D,2016-11-16 05:40:52.873,Single Gunshot,1,38.877,-76.929
4D,2016-11-16 02:43:47.947,Multiple Gunshots,2,38.955,-77.019
4D,2016-11-16 02:40:29.647,Single Gunshot,1,38.955,-77.019
7D,2016-11-15 23:05:10.197,Single Gunshot,1,38.827,-76.999
6D,2016-11-15 22:36:34.893,Multiple Gunshots,9,38.916,-76.933
7D,2016-11-15 22:32:53.387,Single Gunshot,1,38.829,-76.994
6D,2016-11-15 21:44:08.497,Multiple Gunshots,11,38.874,-76.948
6D,2016-11-15 21:43:59.957,Multiple Gunshots,10,38.873,-76.975
6D,2016-11-15 21:23:46.733,Multiple Gunshots,4,38.887,-76.95
7D,2016-11-15 13:35:58.093,Multiple Gunshots,3,38.842,-76.993
6D,2016-11-15 11:51:28.030,Gunshot/Firework,2,38.885,-76.954
7D,2016-11-15 03:01:21.043,Multiple Gunshots,5,38.832,-76.991
7D,2016-11-15 03:01:18.917,Multiple Gunshots,8,38.831,-76.992
7D,2016-11-15 02:06:56.497,Single Gunshot,1,38.854,-76.972
5D,2016-11-15 00:38:37.130,Multiple Gunshots,8,38.925,-77
6D,2016-11-15 00:37:01.487,Multiple Gunshots,2,38.885,-76.953
6D,2016-11-15 00:25:19.867,Single Gunshot,1,38.893,-76.936
6D,2016-11-15 00:15:27.620,Multiple Gunshots,6,38.914,-76.929
6D,2016-11-15 00:15:20.613,Multiple Gunshots,12,38.918,-76.927
7D,2016-11-15 00:06:31.903,Single Gunshot,1,38.84,-76.976
7D,2016-11-15 00:03:31.320,Multiple Gunshots,2,38.841,-76.975
7D,2016-11-14 23:05:44.577,Single Gunshot,1,38.827,-77.002
7D,2016-11-14 19:54:13.807,Multiple Gunshots,3,38.847,-76.971
7D,2016-11-14 19:38:49.487,Multiple Gunshots,3,38.819,-76.998
7D,2016-11-14 18:49:30.357,Multiple Gunshots,4,38.828,-77
6D,2016-11-14 18:43:40.850,Multiple Gunshots,4,38.89,-76.953
6D,2016-11-14 18:43:30.850,Multiple Gunshots,22,38.889,-76.954
7D,2016-11-14 07:59:50.913,Multiple Gunshots,3,38.855,-76.985
7D,2016-11-14 07:58:05.080,Multiple Gunshots,6,38.855,-76.985
7D,2016-11-14 07:57:58.763,Multiple Gunshots,4,38.855,-76.985
7D,2016-11-14 07:57:51.880,Multiple Gunshots,2,38.855,-76.985
7D,2016-11-14 07:57:03.883,Multiple Gunshots,13,38.855,-76.985
4D,2016-11-14 07:45:44.147,Multiple Gunshots,5,38.954,-77.021
6D,2016-11-14 04:05:56.703,Multiple Gunshots,2,38.889,-76.922
6D,2016-11-14 04:00:34.010,Gunshot/Firework,1,38.889,-76.922
6D,2016-11-14 03:59:58.230,Single Gunshot,1,38.889,-76.922
7D,2016-11-14 00:37:13.737,Single Gunshot,1,38.847,-76.974
7D,2016-11-14 00:22:18.620,Single Gunshot,1,38.823,-77.006
7D,2016-11-13 23:22:02.320,Multiple Gunshots,3,38.843,-77.007
5D,2016-11-13 22:40:13.397,Single Gunshot,1,38.909,-76.986
7D,2016-11-13 21:22:09.400,Gunshot/Firework,1,38.846,-77.003
7D,2016-11-13 20:05:49.767,Single Gunshot,1,38.842,-76.963
7D,2016-11-13 19:46:32.740,Multiple Gunshots,8,38.819,-76.995
7D,2016-11-13 19:38:16.747,Multiple Gunshots,6,38.844,-77
6D,2016-11-13 18:35:10.000,Multiple Gunshots,3,38.891,-76.915
6D,2016-11-13 09:25:58.477,Gunshot/Firework,1,38.896,-76.936
7D,2016-11-13 09:18:14.937,Multiple Gunshots,5,38.848,-76.97
6D,2016-11-13 05:40:28.933,Multiple Gunshots,4,38.92,-76.936
7D,2016-11-13 04:00:26.470,Single Gunshot,1,38.829,-77.001
7D,2016-11-13 03:50:40.967,Multiple Gunshots,4,38.855,-76.989
7D,2016-11-13 03:50:39.157,Multiple Gunshots,10,38.852,-76.968
7D,2016-11-13 03:50:38.307,Multiple Gunshots,14,38.852,-76.982
7D,2016-11-13 03:50:32.843,Multiple Gunshots,18,38.855,-76.99
5D,2016-11-13 03:41:40.907,Multiple Gunshots,2,38.931,-76.96
7D,2016-11-13 03:13:06.703,Multiple Gunshots,2,38.857,-76.993
5D,2016-11-13 02:50:40.283,Single Gunshot,1,38.928,-76.978
6D,2016-11-13 00:44:50.610,Single Gunshot,1,38.897,-76.918
6D,2016-11-12 22:55:52.450,Single Gunshot,1,38.894,-76.928
6D,2016-11-12 22:39:11.830,Multiple Gunshots,3,38.887,-76.955
7D,2016-11-12 20:29:30.120,Single Gunshot,1,38.855,-76.989
7D,2016-11-12 20:29:21.673,Multiple Gunshots,4,38.855,-76.989
7D,2016-11-12 20:29:10.243,Multiple Gunshots,3,38.855,-76.989
6D,2016-11-12 20:06:01.180,Multiple Gunshots,10,38.884,-76.93
6D,2016-11-12 18:31:52.760,Single Gunshot,1,38.881,-76.935
3D,2016-11-12 18:21:38.623,Multiple Gunshots,3,38.918,-77.031
6D,2016-11-12 17:53:09.657,Multiple Gunshots,7,38.887,-76.926
7D,2016-11-12 15:34:33.780,Multiple Gunshots,9,38.846,-76.971
1D,2016-11-12 04:50:55.030,Single Gunshot,1,38.901,-76.988
5D,2016-11-12 04:50:55.030,Single Gunshot,1,38.901,-76.988
7D,2016-11-12 04:33:45.277,Multiple Gunshots,2,38.828,-77
7D,2016-11-12 04:33:34.770,Multiple Gunshots,2,38.828,-77
4D,2016-11-12 03:40:34.047,Multiple Gunshots,5,38.945,-77.02
4D,2016-11-12 03:40:22.733,Multiple Gunshots,3,38.945,-77.02
6D,2016-11-12 03:25:16.427,Multiple Gunshots,3,38.894,-76.933
7D,2016-11-12 02:45:16.370,Multiple Gunshots,5,38.827,-76.999
7D,2016-11-12 02:45:12.300,Multiple Gunshots,3,38.827,-76.999
4D,2016-11-12 00:51:54.330,Multiple Gunshots,3,38.955,-77.027
6D,2016-11-12 00:40:53.603,Multiple Gunshots,11,38.879,-76.944
6D,2016-11-12 00:25:29.323,Single Gunshot,1,38.869,-76.946
7D,2016-11-11 23:37:42.393,Multiple Gunshots,4,38.869,-76.984
1D,2016-11-11 23:02:55.793,Multiple Gunshots,5,38.898,-76.973
3D,2016-11-11 21:35:32.897,Multiple Gunshots,14,38.908,-77.02
7D,2016-11-11 21:27:25.777,Single Gunshot,1,38.844,-77.001
6D,2016-11-11 20:23:48.903,Multiple Gunshots,7,38.889,-76.939
6D,2016-11-11 20:14:46.953,Multiple Gunshots,3,38.885,-76.924
6D,2016-11-11 20:00:07.357,Multiple Gunshots,2,38.896,-76.941
