N_Name,P_Car,GEOID,PP_Car
Deanwood Burrville Lincoln Heights,0.467603,11001007808,46.76
Woodland/Fort Stanton Garfield Heights Knox Hill,0.469388,11001007408,46.94
N Michigan Park Michigan Park University Heights,0.471338,11001009504,47.13
Ivy City Arboretum Trinidad Carver Langston,0.478293,11001008903,47.83
River Terrace Benning Greenway Fort Dupont,0.481308,11001007703,48.13
NoMa Union Station Stanton Park Kingman Park,0.48249,11001008002,48.25
Friendship Heights AU Park Tenleytown,0.48284,11001001001,48.28
Hawthorne Barnaby Woods Chevy Chase,0.485997,11001001402,48.60
Historic Anacostia,0.486005,11001007503,48.60
Spring Valley Palisades Wesley Heights Foxhall,0.48732,11001000901,48.73
Brookland Brentwood Langdon,0.489428,11001009102,48.94
NoMa Union Station Stanton Park Kingman Park,0.493151,11001008410,49.32
NoMa Union Station Stanton Park Kingman Park,0.493413,11001007901,49.34
Twining Fairlawn Fort Davis Park Dupont Park,0.495663,11001007709,49.57
Georgetown Burleith/Hillandale,0.496433,11001000300,49.64
Deanwood Burrville Lincoln Heights,0.496608,11001007806,49.66
Brightwood Park Crestwood Petworth,0.501364,11001002301,50.14
Brookland Brentwood Langdon,0.503316,11001009301,50.33
Twining Fairlawn Fort Davis Park Dupont Park,0.506501,11001007601,50.65
Ivy City Arboretum Trinidad Carver Langston,0.510034,11001008802,51.00
Takoma Brightwood Manor Park,0.512913,11001001901,51.29
Douglass Shipley Terrace,0.513223,11001007409,51.32
NoMa Union Station Stanton Park Kingman Park,0.514184,11001007903,51.42
Takoma Brightwood Manor Park,0.519481,11001001803,51.95
Brookland Brentwood Langdon,0.52468,11001009302,52.47
Capitol View Marshall Heights Benning Heights,0.526966,11001009904,52.70
Brightwood Park Crestwood Petworth,0.528421,11001002001,52.84
Hawthorne Barnaby Woods Chevy Chase,0.533218,11001001401,53.32
Ivy City Arboretum Trinidad Carver Langston,0.535421,11001008904,53.54
Woodland/Fort Stanton Garfield Heights Knox Hill,0.535846,11001007502,53.58
Historic Anacostia,0.539254,11001007504,53.93
Twining Fairlawn Fort Davis Park Dupont Park,0.544828,11001007605,54.48
Mayfair Hillbrook Mahaning Heights,0.545072,11001009602,54.51
Brightwood Park Crestwood Petworth,0.547703,11001002600,54.77
N Michigan Park Michigan Park University Heights,0.548729,11001009509,54.87
Congress Heights Bellevue Washington Highlands,0.548908,11001009807,54.89
Mayfair Hillbrook Mahaning Heights,0.556014,11001007803,55.60
Eastland Gardens Kenilworth,0.558179,11001009601,55.82
Deanwood Burrville Lincoln Heights,0.559097,11001007807,55.91
Brightwood Park Crestwood Petworth,0.559979,11001002201,56.00
Capitol View Marshall Heights Benning Heights,0.562118,11001007707,56.21
Brightwood Park Crestwood Petworth,0.563821,11001002501,56.38
Takoma Brightwood Manor Park,0.564706,11001001804,56.47
NoMa Union Station Stanton Park Kingman Park,0.567554,11001008001,56.76
Lamond Riggs Fort Totten Pleasant Hill,0.567591,11001009505,56.76
Lamond Riggs Fort Totten Pleasant Hill,0.572098,11001009508,57.21
Congress Heights Bellevue Washington Highlands,0.575442,11001009804,57.54
Fairfax Village Hillcrest Summit Park,0.57913,11001007603,57.91
Cleveland Park Woodley Park Mass Ave Heights,0.581725,11001000400,58.17
Congress Heights Bellevue Washington Highlands,0.58401,11001010400,58.40
Cathedral Heights McLean Gardens Glover Park,0.584661,11001000701,58.47
Congress Heights Bellevue Washington Highlands,0.588177,11001009700,58.82
Congress Heights Bellevue Washington Highlands,0.58864,11001009801,58.86
Deanwood Burrville Lincoln Heights,0.590232,11001007809,59.02
Congress Heights Bellevue Washington Highlands,0.591837,11001009803,59.18
Twining Fairlawn Fort Davis Park Dupont Park,0.596886,11001009901,59.69
N Michigan Park Michigan Park University Heights,0.597159,11001009503,59.72
Fairfax Village Hillcrest Summit Park,0.599443,11001007604,59.94
Capitol View Marshall Heights Benning Heights,0.600465,11001009907,60.05
Brightwood Park Crestwood Petworth,0.602287,11001002102,60.23
Brightwood Park Crestwood Petworth,0.617443,11001002002,61.74
Takoma Brightwood Manor Park,0.617995,11001001902,61.80
Spring Valley Palisades Wesley Heights Foxhall,0.631835,11001000802,63.18
Sheridan Barry Farm Buena Vista,0.633721,11001007407,63.37
Capitol View Marshall Heights Benning Heights,0.638837,11001009905,63.88
Woodridge Fort Lincoln Gateway,0.642561,11001011100,64.26
Twining Fairlawn Fort Davis Park Dupont Park,0.64401,11001009902,64.40
Woodridge Fort Lincoln Gateway,0.648,11001009400,64.80
River Terrace Benning Greenway Fort Dupont,0.648091,11001009604,64.81
Capitol View Marshall Heights Benning Heights,0.661781,11001009903,66.18
Hawthorne Barnaby Woods Chevy Chase,0.693464,11001001500,69.35
Colonial Village Shepherd Park N Portal,0.697499,11001001600,69.75
Spring Valley Palisades Wesley Heights Foxhall,0.71307,11001000902,71.31
Lamond Riggs Fort Totten Pleasant Hill,0.721754,11001009507,72.18
Woodridge Fort Lincoln Gateway,0.722068,11001009000,72.21
Spring Valley Palisades Wesley Heights Foxhall,0.741884,11001000801,74.19
