Enrollment,NAME
375,Friendship PCS – Chamberlain Elementary
576,Friendship PCS – Southeast Elementary Academy
499,Friendship PCS – Technology Preparatory High School Academy
284,Friendship PCS – Woodridge Elementary
168,Friendship PCS – Woodridge Middle
883,Friendship PCS – Collegiate Academy
284,Garfield Elementary School
244,Garrison Elementary School
400,H.D. Cooke Elementary School
386,Hardy Middle School
66,Harmony DC PCS – School of Excellence
479,Hart Middle School
291,Hearst Elementary School
503,Hendley Elementary School
358,Hope Community PCS – Lamond
517,Hope Community PCS – Tolson
279,Houston Elementary School
294,Howard University Middle School of Mathematics and Science PCS
305,Hyde-Addison Elementary School
217,IDEA PCS
297,Ideal Academy PCS
201,Ingenuity Prep PCS
317,Inspired Teaching Demonstration PCS
466,J.O. Wilson Elementary School
693,Janney Elementary School
277,Jefferson Middle School Academy
291,Johnson Middle School
546,Kelly Miller Middle School
309,Ketcham Elementary School
383,Key Elementary School
348,Kimball Elementary School
372,King Elementary School
321,KIPP DC – AIM Academy PCS
212,KIPP DC – Arts and Technology Academy PCS
454,KIPP DC – College Preparatory PCS
301,KIPP DC – Connect Academy PCS
330,KIPP DC – Discover Academy PCS
312,KIPP DC – Grow Academy PCS
415,KIPP DC – Heights Academy PCS
334,KIPP DC – KEY Academy PCS
302,KIPP DC – Lead Academy PCS
304,KIPP DC – LEAP Academy PCS
126,KIPP DC – Northeast Academy PCS
400,KIPP DC – Promise Academy PCS
282,KIPP DC – Quest Academy PCS
102,KIPP DC – Spring Academy PCS
344,KIPP DC – WILL Academy PCS
333,Kramer Middle School
697,Lafayette Elementary School
340,Langdon Elementary School
289,Langley Elementary School
349,LaSalle-Backus Education Campus
342,Latin American Montessori Bilingual (LAMB) PCS
190,LAYC Career Academy PCS
478,Leckie Elementary School
74,Lee Montessori PCS
340,Ludlow-Taylor Elementary School
244,Malcolm X Elementary School @ Green
302,Mann Elementary School
393,Marie Reed Elementary School
381,Mary McLeod Bethune Day Academy PCS
366,Maury Elementary School
252,Maya Angelou PCS – High School
147,Maya Angelou PCS - Young Adult Learning Center
202,McKinley Middle School
645,McKinley Technology High School
639,Meridian Public Charter School - Middle School
398,Miner Elementary School
