Width,Height,Color,Text
20,20,l0r0,No Trips to World Bank
20,20,l0r1, 0.0% - 0.2% 
20,20,l0r2, 0.2% - 0.5% 
20,20,l0r3, 0.5% - 1.0% 
20,20,l0r4, 1.0% - 2.0% 
20,20,l0r5, 2.0% - 3.0% 
20,20,l0r6, 3.0% - 15.0% 
20,20,l0r7, 15.0% - 22.7% 
