Cereal Name,Manufacturer,Type,pbus,Travel (min),StdResid
"Brightwood Park, Crestwood, Petworth",DCCENSUS,DCCENSUS,5.120327,2.363034789,0.881807382
"Twining, Fairlawn, Fort Davis Park, Dupont Park",DCCENSUS,DCCENSUS,8.312552,5.401540551,0.930968039
"River Terrace, Benning, Greenway, Fort Dupont",DCCENSUS,DCCENSUS,11.391684,8.370223707,0.966290538
"Congress Heights, Bellevue, Washington Highlands",DCCENSUS,DCCENSUS,5.978478,2.769939025,1.026119939
"Georgetown, Burleith/Hillandale",DCCENSUS,DCCENSUS,2.075981,0,1.11370919
"Mayfair, Hillbrook, Mahaning Heights",DCCENSUS,DCCENSUS,11.570727,7.882197645,1.179625258
"Congress Heights, Bellevue, Washington Highlands",DCCENSUS,DCCENSUS,11.865915,8.058274104,1.217718353
"Eastland Gardens, Kenilworth",DCCENSUS,DCCENSUS,13.568521,9.737922706,1.225060174
"Capitol View, Marshall Heights, Benning Heights",DCCENSUS,DCCENSUS,19.723866,13.96231489,1.842596661
"Sheridan, Barry Farm, Buena Vista",DCCENSUS,DCCENSUS,16.306564,10.41069404,1.885552937
"Deanwood, Burrville, Lincoln Heights",DCCENSUS,DCCENSUS,14.423077,8.385149838,1.930984284
"River Terrace, Benning, Greenway, Fort Dupont",DCCENSUS,DCCENSUS,14.231499,7.375791818,2.192517908
"Deanwood, Burrville, Lincoln Heights",Outlier,DCCENSUS,17.286085,8.923520996,2.674424308
