Median_Hou,OBJECTID
83229.0,1
120804.0,2
87188.0,3
100897.0,4
37465.0,5
14201.0,6
77578.0,7
63068.0,8
25543.0,9
51477.0,10
62018.0,11
118107.0,12
52632.0,13
69808.0,14
18366.0,15
88478.0,16
91548.0,17
126067.0,18
83750.0,19
140000.0,20
61964.0,21
50538.0,22
39844.0,23
-100.0,24
14836.0,25
31399.0,26
25000.0,27
49519.0,28
36133.0,29
0.0,30
31703.0,31
20656.0,32
30643.0,33
65963.0,34
62985.0,35
85238.0,36
123125.0,37
43295.0,38
67417.0,39
80909.0,40
104741.0,41
35750.0,42
250000.0,43
137308.0,44
81950.0,45
73182.0,46
48750.0,47
36781.0,48
57500.0,49
25167.0,50
49125.0,51
50188.0,52
134583.0,53
103864.0,54
118438.0,55
130125.0,56
165385.0,57
-100.0,58
31500.0,59
79605.0,60
88028.0,61
21806.0,62
94485.0,63
26587.0,64
47813.0,65
107589.0,66
155096.0,67
166742.0,68
92569.0,69
81356.0,70
52917.0,71
32138.0,72
0.0,73
71359.0,74
71573.0,75
134550.0,76
88947.0,77
111023.0,78
116700.0,79
44804.0,80
240045.0,81
250000.0,82
104107.0,83
15833.0,84
140114.0,85
48281.0,86
131319.0,87
39926.0,88
24125.0,89
64444.0,90
50536.0,91
52734.0,92
0.0,93
95708.0,94
54632.0,95
76719.0,96
79592.0,97
65536.0,98
124773.0,99
-100.0,100
140556.0,101
65536.0,102
93750.0,103
56691.0,104
47453.0,105
40040.0,106
27750.0,107
34135.0,108
35673.0,109
24784.0,110
93056.0,111
82448.0,112
63849.0,113
78621.0,114
100163.0,115
55651.0,116
70298.0,117
60170.0,118
70923.0,119
48750.0,120
56875.0,121
61167.0,122
58125.0,123
42520.0,124
64737.0,125
43611.0,126
54883.0,127
26450.0,128
24531.0,129
11196.0,130
47679.0,131
42647.0,132
16304.0,133
16309.0,134
35938.0,135
29940.0,136
25042.0,137
28378.0,138
51250.0,139
68750.0,140
53974.0,141
28657.0,142
83875.0,143
114600.0,144
106181.0,145
75820.0,146
-100.0,147
25333.0,148
35625.0,149
14286.0,150
21765.0,151
98220.0,152
141792.0,153
124808.0,154
237604.0,155
0.0,156
241528.0,157
199028.0,158
230972.0,159
212500.0,160
200815.0,161
168068.0,162
153036.0,163
70574.0,164
40169.0,165
102305.0,166
79250.0,167
50911.0,168
60556.0,169
41287.0,170
80428.0,171
93207.0,172
20560.0,173
87969.0,174
63094.0,175
129583.0,176
94132.0,177
137685.0,178
61500.0,179
42838.0,180
100139.0,181
125625.0,182
42479.0,183
192750.0,184
188846.0,185
109583.0,186
127778.0,187
135547.0,188
186591.0,189
83720.0,190
250000.0,191
132614.0,192
109444.0,193
136012.0,194
180893.0,195
159375.0,196
0.0,197
92198.0,198
237578.0,199
164226.0,200
94857.0,201
151324.0,202
68828.0,203
76250.0,204
66250.0,205
88306.0,206
88264.0,207
41500.0,208
139034.0,209
45139.0,210
53611.0,211
63510.0,212
95000.0,213
90313.0,214
113750.0,215
89028.0,216
108750.0,217
92396.0,218
33971.0,219
58472.0,220
72179.0,221
118750.0,222
155833.0,223
239545.0,224
111250.0,225
100028.0,226
89800.0,227
77214.0,228
196161.0,229
149625.0,230
236705.0,231
103182.0,232
96534.0,233
214063.0,234
173092.0,235
167552.0,236
228672.0,237
0.0,238
33571.0,239
97964.0,240
63333.0,241
0.0,242
96823.0,243
66622.0,244
44844.0,245
41974.0,246
37813.0,247
73594.0,248
106536.0,249
92604.0,250
86818.0,251
143068.0,252
103825.0,253
103813.0,254
114554.0,255
122188.0,256
78073.0,257
87434.0,258
149475.0,259
134939.0,260
70000.0,261
79167.0,262
18375.0,263
136375.0,264
99330.0,265
97581.0,266
46069.0,267
112563.0,268
91667.0,269
14329.0,270
34286.0,271
34583.0,272
22353.0,273
34816.0,274
94688.0,275
42361.0,276
103273.0,277
116607.0,278
36595.0,279
114659.0,280
134659.0,281
72160.0,282
112649.0,283
23565.0,284
82153.0,285
165000.0,286
143485.0,287
138843.0,288
140833.0,289
74375.0,290
0.0,291
77424.0,292
159250.0,293
95625.0,294
0.0,295
28994.0,296
16789.0,297
21563.0,298
17159.0,299
0.0,300
46111.0,301
80313.0,302
129829.0,303
70647.0,304
96750.0,305
60875.0,306
125714.0,307
65750.0,308
42303.0,309
102976.0,310
95905.0,311
44861.0,312
136974.0,313
83929.0,314
56983.0,315
82685.0,316
210714.0,317
177083.0,318
130341.0,319
35714.0,320
31528.0,321
42063.0,322
41667.0,323
24826.0,324
47955.0,325
112000.0,326
98864.0,327
120417.0,328
97929.0,329
61184.0,330
107266.0,331
81146.0,332
113125.0,333
77961.0,334
59712.0,335
42083.0,336
41310.0,337
72188.0,338
62063.0,339
44792.0,340
43240.0,341
33699.0,342
69167.0,343
56034.0,344
39773.0,345
56012.0,346
39643.0,347
46979.0,348
23447.0,349
135481.0,350
0.0,351
108438.0,352
98000.0,353
90852.0,354
132708.0,355
116667.0,356
90313.0,357
67639.0,358
107442.0,359
134722.0,360
74559.0,361
57446.0,362
55000.0,363
41442.0,364
37986.0,365
0.0,366
36520.0,367
26061.0,368
0.0,369
35479.0,370
147667.0,371
48994.0,372
0.0,373
41164.0,374
90080.0,375
69265.0,376
92364.0,377
40848.0,378
30000.0,379
64375.0,380
92345.0,381
80417.0,382
185714.0,383
115435.0,384
136607.0,385
108875.0,386
82692.0,387
132333.0,388
78792.0,389
100682.0,390
0.0,391
104292.0,392
192039.0,393
38661.0,394
45288.0,395
30500.0,396
29492.0,397
45375.0,398
33913.0,399
25625.0,400
35394.0,401
20313.0,402
33403.0,403
48125.0,404
46250.0,405
24556.0,406
34156.0,407
111098.0,408
179861.0,409
142206.0,410
110234.0,411
198179.0,412
99028.0,413
152778.0,414
