N_Name,cfl_index,OBJECTID
Deanwood Burrville Lincoln Heights,35.32,114
Deanwood Burrville Lincoln Heights,36.71,115
NoMa Union Station Stanton Park Kingman Park,66.88,116
NoMa Union Station Stanton Park Kingman Park,53.96,117
NoMa Union Station Stanton Park Kingman Park,66.17,118
NoMa Union Station Stanton Park Kingman Park,63.6,119
NoMa Union Station Stanton Park Kingman Park,65.89,120
NoMa Union Station Stanton Park Kingman Park,79.33,121
NoMa Union Station Stanton Park Kingman Park,71.01,122
NoMa Union Station Stanton Park Kingman Park,70.4,123
NoMa Union Station Stanton Park Kingman Park,73.51,124
NoMa Union Station Stanton Park Kingman Park,64.7,125
Edgewood Bloomingdale Truxton Circle Eckington,71.03,126
Edgewood Bloomingdale Truxton Circle Eckington,73.33,127
Ivy City Arboretum Trinidad Carver Langston,65.5,128
Ivy City Arboretum Trinidad Carver Langston,68.72,129
Ivy City Arboretum Trinidad Carver Langston,51.94,130
Ivy City Arboretum Trinidad Carver Langston,57.99,131
Ivy City Arboretum Trinidad Carver Langston,52.76,132
Woodridge Fort Lincoln Gateway,40.39,133
Brookland Brentwood Langdon,63.57,134
Edgewood Bloomingdale Truxton Circle Eckington,62.8,135
Edgewood Bloomingdale Truxton Circle Eckington,64.75,136
Edgewood Bloomingdale Truxton Circle Eckington,64.45,137
Brookland Brentwood Langdon,65.86,138
Brookland Brentwood Langdon,60.48,139
Woodridge Fort Lincoln Gateway,51.18,140
Lamond Riggs Fort Totten Pleasant Hill,59.82,141
N Michigan Park Michigan Park University Heights,47.64,142
N Michigan Park Michigan Park University Heights,61.36,143
Lamond Riggs Fort Totten Pleasant Hill,56.81,144
Lamond Riggs Fort Totten Pleasant Hill,42.4,145
Lamond Riggs Fort Totten Pleasant Hill,57.71,146
N Michigan Park Michigan Park University Heights,51.91,147
Eastland Gardens Kenilworth,29.14,148
Mayfair Hillbrook Mahaning Heights,39.48,149
River Terrace Benning Greenway Fort Dupont,50.15,150
River Terrace Benning Greenway Fort Dupont,49.74,151
Congress Heights Bellevue Washington Highlands,36.73,152
Congress Heights Bellevue Washington Highlands,36.11,153
Congress Heights Bellevue Washington Highlands,35.87,154
Congress Heights Bellevue Washington Highlands,39.25,155
Congress Heights Bellevue Washington Highlands,40.35,156
Congress Heights Bellevue Washington Highlands,40.2,157
Congress Heights Bellevue Washington Highlands,39.9,158
Congress Heights Bellevue Washington Highlands,36.87,159
Twining Fairlawn Fort Davis Park Dupont Park,36.98,160
Twining Fairlawn Fort Davis Park Dupont Park,29.62,161
Capitol View Marshall Heights Benning Heights,33.9,162
Capitol View Marshall Heights Benning Heights,43.62,163
Capitol View Marshall Heights Benning Heights,35.93,164
Capitol View Marshall Heights Benning Heights,39.13,165
Capitol View Marshall Heights Benning Heights,33.73,166
Downtown Chinatown Penn MV Square N Capitol St,95.61,167
Southwest/Waterfront Fort McNair Buzzard Point,86.96,168
Takoma Brightwood Manor Park,58.52,169
Southwest/Waterfront Fort McNair Buzzard Point,74.47,170
NoMa Union Station Stanton Park Kingman Park,91.42,171
Dupont Circle Connecticut Avenue/K Street,93.82,172
West End Foggy Bottom GWU,92.24,173
No Data,35.74,174
Southwest/Waterfront Fort McNair Buzzard Point,44.95,175
Woodridge Fort Lincoln Gateway,61.05,176
