Width,Height,Color,Text
20,20,l0r0, -35.0% - -15.0% 
20,20,l0r1, -15.0% - -5.0% 
20,20,l0r2, -5.0% - 0.0% 
20,20,l0r3, 0.0% - 20.0% 
20,20,l0r4, 20.0% - 50.0% 
20,20,l0r5, 50.0% - 75.0% 
20,20,l0r6, 75.0% - 105%
