Width,Height,Color,Text
20,20,l0r0,No Homicides in 2015/16
20,20,l0r1, -100% - -75%
20,20,l0r2, -75% - -50%
20,20,l0r3, -50% - -25%
20,20,l0r4, -25% - 25%
20,20,l0r5, 25% - 100%
20,20,l0r6, 100% - 200%
20,20,l0r7, 200% - 300%
