Width,Height,Color,Text
20,20,l0r0, 0.0 - 10.0 
20,20,l0r1, 10.0 - 15.0 
20,20,l0r2, 15.0 - 20.0 
20,20,l0r3, 20.0 - 25.0 
20,20,l0r4, 25.0 - 30.0 
20,20,l0r5, 30.0 - 35.0 
20,20,l0r6, 35.0 - 38.0 
