subhood,Percent,avgfare,id
Buzzard Point,0.046,15.13,168
Crestwood,0.088,11.62,157
Congress Heights,0.046,21.61,159
Burleith,0.462,9.46,170
Columbia Heights,4.096,8.92,160
Colonial Village,0.005,18.91,161
Cleveland Park,0.933,9.73,162
Chevy Chase,0.382,15.13,163
Buena Vista,0.015,19.45,171
Carver Langston,0.058,15.67,165
Capitol Hill,2.030,14.59,166
Capital City Market,0.064,13.24,167
Brookland,0.142,14.59,172
Brightwood Park,0.043,14.59,173
Brightwood,0.172,15.40,174
Brentwood,0.081,13.24,175
Blue Plains,0.000,34.03,176
Randle Highlands,0.005,19.99,217
Woodridge,0.059,16.48,179
Barnaby Woods,0.017,17.56,180
Arboretum,0.010,15.94,181
The Capitol Grounds,2.560,13.24,202
Anacostia Park,0.000,18.91,183
Rock Creek Cemetery,0.001,17.56,215
Anacostia,0.031,18.91,184
American University Park,0.227,13.78,185
American University,0.091,12.43,186
16th Street Heights,0.725,11.89,187
Wesley Heights,0.258,11.62,188
Woodley Park,2.686,7.84,189
White House Grounds,0.445,7.57,191
West End,2.584,5.95,192
Washington Hospital Center,0.053,12.70,193
Wakefield,0.452,12.43,195
University Heights,0.046,15.13,196
Union Station,1.662,12.43,197
U Street,5.188,7.57,198
Twining,0.005,20.26,199
Truxton Circle,0.277,9.73,200
Trinidad,0.117,14.32,201
Tenleytown,0.218,13.51,203
Takoma,0.070,18.91,204
River Terrace,0.009,18.91,216
Spring Valley,0.131,13.78,205
Skyland,0.007,22.15,207
Sheridan-Kalorama,1.289,5.95,209
Shepherd Park,0.034,19.45,210
Shaw,2.234,8.11,211
Rock Creek Park (north),0.003,16.75,213
Rock Creek Gardens,0.012,19.18,214
