Width,Height,Color,Text
20,20,l0r0,Dupont/No Data
20,20,l0r1, 0.00% - 0.05% 
20,20,l0r2, 0.05% - 0.50% 
20,20,l0r3, 0.50% - 1.00% 
20,20,l0r4, 1.00% - 2.00% 
20,20,l0r5, 2.00% - 3.00% 
20,20,l0r6, 3.00% - 5.00% 
20,20,l0r7, 5.00% - 24.68% 
