N_Name,Temp_STD,OBJECTID
Twining Fairlawn Fort Davis Park Dupont Park,-0.538844,111
Mayfair Hillbrook Mahaning Heights,-0.592129,112
Deanwood Burrville Lincoln Heights,-0.161596,113
Deanwood Burrville Lincoln Heights,0.545117,114
Deanwood Burrville Lincoln Heights,0.345307,115
Deanwood Burrville Lincoln Heights,0.007421,116
Deanwood Burrville Lincoln Heights,0.156047,117
NoMa Union Station Stanton Park Kingman Park,1.352412,118
NoMa Union Station Stanton Park Kingman Park,1.090613,119
NoMa Union Station Stanton Park Kingman Park,0.579978,120
NoMa Union Station Stanton Park Kingman Park,0.676835,121
NoMa Union Station Stanton Park Kingman Park,0.054539,122
NoMa Union Station Stanton Park Kingman Park,0.140153,123
NoMa Union Station Stanton Park Kingman Park,0.511931,124
NoMa Union Station Stanton Park Kingman Park,0.426011,125
NoMa Union Station Stanton Park Kingman Park,0.660868,126
NoMa Union Station Stanton Park Kingman Park,0.830003,127
Edgewood Bloomingdale Truxton Circle Eckington,1.457434,128
Edgewood Bloomingdale Truxton Circle Eckington,1.825373,129
Ivy City Arboretum Trinidad Carver Langston,0.835292,130
Ivy City Arboretum Trinidad Carver Langston,1.64182,131
Ivy City Arboretum Trinidad Carver Langston,0.564435,132
Ivy City Arboretum Trinidad Carver Langston,0.671899,133
Ivy City Arboretum Trinidad Carver Langston,1.234335,134
Woodridge Fort Lincoln Gateway,-0.072224,135
Brookland Brentwood Langdon,1.589146,136
Edgewood Bloomingdale Truxton Circle Eckington,0.140515,137
Edgewood Bloomingdale Truxton Circle Eckington,-0.030815,138
Edgewood Bloomingdale Truxton Circle Eckington,1.110277,139
Brookland Brentwood Langdon,-0.321112,140
Brookland Brentwood Langdon,0.55317,141
Woodridge Fort Lincoln Gateway,-0.48061,142
Lamond Riggs Fort Totten Pleasant Hill,-0.730349,143
N Michigan Park Michigan Park University Heights,-0.988932,144
N Michigan Park Michigan Park University Heights,0.185834,145
Lamond Riggs Fort Totten Pleasant Hill,0.187528,146
Lamond Riggs Fort Totten Pleasant Hill,0.80575,147
Lamond Riggs Fort Totten Pleasant Hill,0.166261,148
N Michigan Park Michigan Park University Heights,0.205338,149
Eastland Gardens Kenilworth,-1.321922,150
Mayfair Hillbrook Mahaning Heights,0.031115,151
River Terrace Benning Greenway Fort Dupont,0.532818,152
River Terrace Benning Greenway Fort Dupont,0.395038,153
Congress Heights Bellevue Washington Highlands,0.989634,154
Congress Heights Bellevue Washington Highlands,0.276071,155
Congress Heights Bellevue Washington Highlands,0.805811,156
