letter	frequency	percent
0-50	81	3.8
50-100	232	10.9
100-150	339	16.0
150-200	293	13.8
200-250	270	12.7
250-300	272	12.8
300-350	201	9.5
350-400	128	6.0
400-450	90	4.2
450-500	63	3.0
500-550	47	2.2
550-600	28	1.3
600-650	32	1.5
650-700	14	0.7
700-750	13	0.6
750-800	5	0.2
800-850	1	0.0
850-900	1	0.0
900-950	3	0.1
950-1000	2	0.1
1000+	6	0.3
