letter	frequency	percent
0-50	176	7.75
50-100	317	13.96
100-150	397	17.49
150-200	319	14.05
200-250	273	12.03
250-300	219	9.65
300-350	144	6.34
350-400	133	5.86
400-450	81	3.57
450-500	60	2.64
500-550	43	1.89
550-600	34	1.50
600-650	37	1.63
650-700	13	0.57
700-750	13	0.57
750-800	3	0.13
800-850	4	0.18
850-900	0	0.00
900-950	2	0.09
950-1000	1	0.04
1000+	1	0.04
