Width,Height,Color,Text
20,20,l0r0,No Homicides
20,20,l0r1,1
20,20,l0r2,2
20,20,l0r3,3
20,20,l0r4,4
20,20,l0r5,5
20,20,l0r6,6
20,20,l0r7,7
