"date","P_Bach","P_Bach_white","P_Bach_black","P_Bach_asian","P_Bach_hisp"
2009,48.5,80.3425498334015,21.3609944423232,79.6819386595986,34.6065375302663
2010,50.1,80.3773392656998,22.2727648664296,81.0630608175474,33.6478889398807
2011,52.5,85.4604845593224,22.769211355242,74.2396593673966,36.6286979486222
2012,53,85.2300760409476,24.2299922448706,78.1263562527125,35.9225501057508
2013,55.1,87.4411137589364,23.8223763928818,72.6520353114272,51.8123616631364
2014,54.9,87.1992429713375,25.0864467270598,76.5613363123737,41.9483237046809
2015,56.7464748225781,89.7090054228114,26.1854797057414,77.9338216721394,44.2612166133064
