Width,Height,Color,Text
20,20,l0r0,$8.00 - $20.00 
20,20,l0r1,$20.00 - $40.00 
20,20,l0r2,$40.00 - $60.00 
20,20,l0r3,$60.00 - $80.00 
20,20,l0r4,$80.00 - $100.00 
20,20,l0r5,$100.00 - $110.00
