"","STREETSEGID","freq"
"502",711,3634
"503",712,182
"504",713,19
"505",715,16
"506",717,52
"507",719,1
"508",721,9
"509",722,1
"510",723,1
"511",727,276
"512",729,88
"513",730,415
"514",732,167
"515",733,332
"516",734,13
"517",736,82
"518",737,9
"519",739,2
"520",742,24
"521",743,6
"522",745,176
"523",746,103
"524",747,239
"525",749,151
"526",750,13
"527",751,3
"528",755,12
"529",756,71
"530",758,2
"531",759,810
"532",760,9
"533",761,2
"534",763,1857
"535",764,286
"536",765,285
"537",766,14
"538",767,763
"539",768,38
"540",769,1
"541",770,9
"542",771,1
"543",772,3054
"544",773,24
"545",775,4
"546",777,2
"547",778,20
"548",779,24
"549",783,23
"550",785,9
"551",789,138
"552",790,96
"553",791,50
"554",792,50
"555",793,14
"556",795,45
"557",796,345
"558",797,286
"559",799,163
"560",800,466
"561",803,27
"562",806,2
"563",807,30
"564",810,127
"565",811,348
"566",812,18
"567",814,1
"568",816,13
"569",817,70
"570",819,298
"571",821,12
"572",822,1549
"573",823,12
"574",826,15
"575",827,78
"576",829,1403
"577",831,1021
"578",832,16
"579",833,384
"580",834,154
"581",837,152
"582",839,2
"583",840,111
"584",842,672
"585",843,3332
"586",844,313
"587",845,24
"588",846,47
"589",847,27
"590",849,136
"591",850,118
"592",854,57
"593",855,175
"594",856,2
"595",857,201
"596",858,211
"597",860,35
"598",861,36
"599",863,65
"600",864,139
"601",865,41
"602",866,87
"603",869,125
"604",870,257
"605",873,366
"606",874,406
"607",876,11
"608",878,1
"609",879,1
"610",880,129
"611",881,4
"612",882,225
"613",883,6
"614",885,2
"615",887,264
"616",888,91
"617",889,2
"618",890,5
"619",891,78
"620",892,2
"621",893,2
"622",894,162
"623",897,6
"624",898,2
"625",899,124
"626",901,66
"627",902,188
"628",903,205
"629",904,2
"630",905,36
"631",907,564
"632",909,150
"633",910,242
"634",912,77
"635",913,520
"636",915,43
"637",916,51
"638",917,5
"639",918,309
"640",919,2181
"641",920,240
"642",922,66
"643",924,349
"644",925,213
"645",926,182
"646",927,76
"647",928,3
"648",929,593
"649",930,105
"650",931,2
"651",933,191
"652",934,134
"653",936,1309
"654",937,1094
"655",938,288
"656",941,1
"657",943,19
"658",945,19
"659",949,17
"660",950,5
"661",951,530
"662",953,38
"663",954,3
"664",955,2
"665",959,9
"666",960,64
"667",964,358
"668",965,4
"669",966,28
"670",967,2718
"671",968,397
"672",969,169
"673",971,2
"674",972,5
"675",974,56
"676",975,3
"677",976,77
"678",978,42
"679",980,133
"680",983,63
"681",984,64
"682",985,60
"683",986,5
"684",989,59
"685",991,392
"686",992,13
"687",993,163
"688",997,8
"689",998,43
"690",999,9
"691",1000,153
"692",1001,58
"693",1002,629
"694",1003,25
"695",1004,34
"696",1005,4
"697",1006,12
"698",1007,576
"699",1008,32
"700",1012,46
"701",1013,172
"702",1014,117
"703",1015,2
"704",1016,108
"705",1017,369
"706",1018,44
"707",1019,7
"708",1020,2
"709",1021,51
"710",1022,115
"711",1024,128
"712",1025,154
"713",1026,81
"714",1029,298
"715",1030,2
"716",1031,17
"717",1033,30
"718",1034,96
"719",1035,275
"720",1037,460
"721",1038,60
"722",1039,277
"723",1040,2
"724",1041,84
"725",1042,3
"726",1043,174
"727",1044,99
"728",1045,40
"729",1048,379
"730",1049,22
"731",1050,7
"732",1051,27
"733",1052,1
"734",1053,117
"735",1054,6
"736",1055,98
"737",1057,31
"738",1059,107
"739",1061,25
"740",1062,84
"741",1063,542
"742",1064,59
"743",1065,3
"744",1067,1
"745",1068,50
"746",1069,10
"747",1070,9
"748",1071,14
"749",1072,2
"750",1073,19
"751",1074,101
"752",1075,461
"753",1076,106
"754",1078,44
"755",1079,28
"756",1080,79
"757",1081,171
"758",1082,131
"759",1084,7
"760",1085,2
"761",1086,8
"762",1087,459
"763",1088,4
"764",1089,2
"765",1090,2830
"766",1091,1
"767",1093,1234
"768",1094,177
"769",1095,373
"770",1096,306
"771",1098,29
"772",1099,106
"773",1100,46
"774",1101,4
"775",1102,124
"776",1103,651
"777",1104,95
"778",1107,210
"779",1108,8
"780",1110,22
"781",1111,1
"782",1112,49
"783",1113,311
"784",1116,63
"785",1120,20
"786",1121,124
"787",1122,40
"788",1123,217
"789",1124,40
"790",1125,56
"791",1126,504
"792",1128,2
"793",1129,63
"794",1130,16
"795",1131,4
"796",1133,23
"797",1135,23
"798",1137,3
"799",1138,15
"800",1140,2065
"801",1141,1
"802",1143,266
"803",1144,149
"804",1145,303
"805",1146,21
"806",1147,470
"807",1148,29
"808",1149,15
"809",1150,231
"810",1151,542
"811",1152,2060
"812",1153,2
"813",1154,24
"814",1157,88
"815",1158,2
"816",1159,6
"817",1160,909
"818",1163,240
"819",1167,41
"820",1168,16
"821",1169,2
"822",1170,13
"823",1171,32
"824",1173,24
"825",1175,6
"826",1176,38
"827",1178,1210
"828",1179,12
"829",1180,9
"830",1181,150
"831",1182,201
"832",1183,24
"833",1184,7
"834",1185,103
"835",1186,1076
"836",1187,5
"837",1188,161
"838",1190,37
"839",1191,415
"840",1192,97
"841",1194,440
"842",1195,485
"843",1197,5035
"844",1198,793
"845",1201,2
"846",1202,581
"847",1203,4
"848",1204,25
"849",1206,20
"850",1208,4
"851",1209,1
"852",1210,1
"853",1211,28
"854",1212,67
"855",1214,145
"856",1215,1262
"857",1216,10
"858",1218,439
"859",1219,10
"860",1220,188
"861",1222,21
"862",1225,13
"863",1227,1
"864",1230,97
"865",1231,179
"866",1232,1989
"867",1233,9
"868",1234,119
"869",1235,248
"870",1237,125
"871",1238,162
"872",1239,4
"873",1240,712
"874",1241,22
"875",1242,74
"876",1244,128
"877",1245,848
"878",1246,2
"879",1247,16
"880",1248,12
"881",1249,1
"882",1250,34
"883",1252,3
"884",1254,3
"885",1255,2896
"886",1257,1549
"887",1258,222
"888",1259,90
"889",1260,14
"890",1261,11
"891",1263,170
"892",1264,1913
"893",1265,6
"894",1266,43
"895",1267,70
"896",1268,332
"897",1269,3
"898",1272,1
"899",1273,849
"900",1274,977
"901",1275,21
"902",1276,7
"903",1277,1
"904",1278,6
"905",1279,15
"906",1280,30
"907",1283,1
"908",1285,11
"909",1286,239
"910",1287,1
"911",1288,4
"912",1292,1060
"913",1293,8
"914",1294,63
"915",1297,198
"916",1298,195
"917",1299,11
"918",1300,53
"919",1301,22
"920",1302,98
"921",1303,142
"922",1304,59
"923",1306,2
"924",1307,201
"925",1308,140
"926",1309,43
"927",1310,5
"928",1312,9
"929",1313,1
"930",1316,6
"931",1317,134
"932",1318,2
"933",1319,50
"934",1320,205
"935",1321,5
"936",1322,379
"937",1323,6
"938",1324,68
"939",1328,231
"940",1332,54
"941",1333,1
"942",1334,22
"943",1335,31
"944",1336,151
"945",1338,1
"946",1341,205
"947",1342,286
"948",1343,179
"949",1344,174
"950",1346,349
"951",1348,28
"952",1349,52
"953",1350,16
"954",1352,87
"955",1353,22
"956",1355,46
"957",1356,244
"958",1357,7
"959",1358,1325
"960",1359,396
"961",1360,6
"962",1361,63
"963",1362,1539
"964",1364,2
"965",1366,278
"966",1367,457
"967",1368,288
"968",1369,1264
"969",1370,221
"970",1371,440
"971",1372,100
"972",1373,50
"973",1374,70
"974",1376,31
"975",1379,33
"976",1380,246
"977",1382,2
"978",1383,1465
"979",1384,29
"980",1387,24
"981",1388,1143
"982",1389,173
"983",1391,107
"984",1392,101
"985",1394,263
"986",1395,31
"987",1397,1
"988",1398,33
"989",1399,39
"990",1401,560
"991",1402,4
"992",1403,2
"993",1405,8
"994",1407,20
"995",1408,256
"996",1409,27
"997",1410,44
"998",1411,977
"999",1412,23
"1000",1413,214
"1001",1414,150
"1002",1415,4
"1003",1418,5
"1004",1422,101
"1005",1423,10
"1006",1424,326
"1007",1425,293
"1008",1426,2
"1009",1428,3
"1010",1429,148
"1011",1431,82
"1012",1432,12
"1013",1433,50
"1014",1434,30
"1015",1435,3
"1016",1436,33
"1017",1438,88
"1018",1439,1
"1019",1440,387
"1020",1443,31
"1021",1444,298
"1022",1445,16
"1023",1446,4
"1024",1447,4
"1025",1448,74
"1026",1450,692
"1027",1451,1
"1028",1453,34
"1029",1455,18
"1030",1456,32
"1031",1457,8
"1032",1458,72
"1033",1459,80
"1034",1460,2
"1035",1461,19
"1036",1462,12
"1037",1463,52
"1038",1464,828
"1039",1467,25
"1040",1468,122
"1041",1469,64
"1042",1471,7
"1043",1472,1
"1044",1473,20
"1045",1474,6
"1046",1475,131
"1047",1477,14
"1048",1478,153
"1049",1479,480
"1050",1481,12
"1051",1483,104
"1052",1484,660
"1053",1485,38
"1054",1486,1
"1055",1487,8
"1056",1489,12
"1057",1490,84
"1058",1491,50
"1059",1492,17
"1060",1496,10
"1061",1497,4
"1062",1499,62
"1063",1500,16
"1064",1504,2400
"1065",1505,1211
"1066",1506,84
"1067",1509,43
"1068",1511,80
"1069",1512,4944
"1070",1513,6
"1071",1514,269
"1072",1515,13
"1073",1516,24
"1074",1517,113
"1075",1518,12
"1076",1519,107
"1077",1524,1754
"1078",1526,27
"1079",1527,47
"1080",1528,46
"1081",1530,24
"1082",1532,43
"1083",1537,25
"1084",1538,33
"1085",1540,147
"1086",1541,52
"1087",1542,1328
"1088",1543,90
"1089",1544,155
"1090",1545,291
"1091",1547,4
"1092",1548,4
"1093",1549,29
"1094",1550,21
"1095",1551,1727
"1096",1553,1028
"1097",1554,112
"1098",1556,8
"1099",1557,647
"1100",1558,43
"1101",1559,483
"1102",1560,12
"1103",1561,76
"1104",1562,45
"1105",1564,2
"1106",1567,215
"1107",1568,26
"1108",1569,107
"1109",1570,136
"1110",1571,26
"1111",1572,8
"1112",1573,2
"1113",1574,58
"1114",1575,171
"1115",1576,21
"1116",1577,837
"1117",1578,808
"1118",1579,3166
"1119",1582,148
"1120",1583,15
"1121",1584,2
"1122",1588,362
"1123",1589,1255
"1124",1590,14
"1125",1591,3
"1126",1593,7
"1127",1594,284
"1128",1595,2
"1129",1596,436
"1130",1597,624
"1131",1599,4
"1132",1600,90
"1133",1602,226
"1134",1603,2
"1135",1605,12
"1136",1607,7
"1137",1608,204
"1138",1609,218
"1139",1610,443
"1140",1612,4
"1141",1613,13
"1142",1614,77
"1143",1615,50
"1144",1617,18
"1145",1618,142
"1146",1620,11
"1147",1623,23
"1148",1625,5
"1149",1626,1
"1150",1627,10
"1151",1628,35
"1152",1629,207
"1153",1630,7
"1154",1631,5
"1155",1632,35
"1156",1633,56
"1157",1634,4001
"1158",1635,32
"1159",1637,221
"1160",1638,2
"1161",1639,213
"1162",1640,198
"1163",1641,3
"1164",1642,62
"1165",1645,423
"1166",1646,10
"1167",1647,23
"1168",1648,43
"1169",1649,8
"1170",1650,54
"1171",1651,723
"1172",1652,121
"1173",1653,40
"1174",1654,241
"1175",1655,192
"1176",1656,85
"1177",1657,1157
"1178",1658,124
"1179",1659,136
"1180",1660,66
"1181",1661,100
"1182",1662,4
"1183",1663,3
"1184",1665,2
"1185",1666,65
"1186",1667,1
"1187",1668,183
"1188",1669,2
"1189",1670,433
"1190",1671,92
"1191",1672,3
"1192",1673,14
"1193",1674,1145
"1194",1675,620
"1195",1676,21
"1196",1677,7
"1197",1678,86
"1198",1680,97
"1199",1681,2639
"1200",1682,1623
"1201",1683,19
"1202",1684,3117
"1203",1685,124
"1204",1686,166
"1205",1688,97
"1206",1689,296
"1207",1690,20
"1208",1691,187
"1209",1693,16
"1210",1694,1063
"1211",1695,23
"1212",1696,182
"1213",1697,2
"1214",1698,1
"1215",1699,36
"1216",1701,68
"1217",1702,32
"1218",1703,7
"1219",1704,26
"1220",1705,41
"1221",1706,34
"1222",1707,88
"1223",1708,372
"1224",1709,13
"1225",1710,101
"1226",1712,110
"1227",1713,46
"1228",1715,18
"1229",1716,150
"1230",1717,4163
"1231",1718,20
"1232",1719,7
"1233",1720,91
"1234",1721,102
"1235",1726,10
"1236",1727,315
"1237",1728,186
"1238",1729,5
"1239",1730,371
"1240",1731,162
"1241",1735,141
"1242",1737,146
"1243",1738,2
"1244",1740,912
"1245",1741,52
"1246",1742,641
"1247",1743,33
"1248",1744,106
"1249",1745,6
"1250",1746,25
"1251",1747,2407
"1252",1748,447
"1253",1749,56
"1254",1750,205
"1255",1751,2289
"1256",1752,778
"1257",1753,8
"1258",1755,715
"1259",1757,170
"1260",1758,8
"1261",1760,916
"1262",1761,20
"1263",1765,2
"1264",1767,9
"1265",1768,4
"1266",1771,16
"1267",1772,2
"1268",1773,563
"1269",1775,2657
"1270",1776,16
"1271",1777,2
"1272",1779,141
"1273",1780,26
"1274",1781,22
"1275",1782,73
"1276",1783,5
"1277",1784,220
"1278",1785,3
"1279",1786,5
"1280",1788,205
"1281",1789,32
"1282",1790,85
"1283",1791,47
"1284",1792,24
"1285",1793,4
"1286",1794,1206
"1287",1795,465
"1288",1796,23
"1289",1797,100
"1290",1801,186
"1291",1803,364
"1292",1804,892
"1293",1805,1
"1294",1807,105
"1295",1808,52
"1296",1809,31
"1297",1810,12
"1298",1811,168
"1299",1812,414
"1300",1814,494
"1301",1815,67
"1302",1816,647
"1303",1822,8
"1304",1823,4
"1305",1824,128
"1306",1825,47
"1307",1828,10
"1308",1829,871
"1309",1833,1021
"1310",1834,46
"1311",1836,39
"1312",1837,135
"1313",1838,62
"1314",1839,164
"1315",1840,28
"1316",1841,383
"1317",1842,510
"1318",1844,33
"1319",1845,1680
"1320",1846,455
"1321",1848,4
"1322",1851,732
"1323",1852,582
"1324",1853,4
"1325",1854,417
"1326",1857,10
"1327",1858,91
"1328",1859,30
"1329",1860,4
"1330",1861,10
"1331",1863,119
"1332",1865,2
"1333",1866,378
"1334",1867,51
"1335",1868,10
"1336",1872,15
"1337",1873,10
"1338",1874,68
"1339",1875,220
"1340",1876,153
"1341",1877,57
"1342",1878,32
"1343",1880,202
"1344",1881,10
"1345",1883,1045
"1346",1884,1588
"1347",1887,41
"1348",1888,40
"1349",1889,2
"1350",1890,224
"1351",1892,1
"1352",1893,25
"1353",1894,1152
"1354",1895,72
"1355",1896,65
"1356",1897,827
"1357",1898,93
"1358",1899,2
"1359",1900,27
"1360",1901,1
"1361",1903,31
"1362",1904,162
"1363",1906,2
"1364",1907,36
"1365",1909,14
"1366",1910,4
"1367",1912,12
"1368",1914,9
"1369",1916,120
"1370",1917,6
"1371",1918,79
"1372",1920,12
"1373",1923,32
"1374",1925,672
"1375",1927,814
"1376",1929,443
"1377",1930,8
"1378",1932,1046
"1379",1933,2
"1380",1934,256
"1381",1935,14
"1382",1936,637
"1383",1938,214
"1384",1939,4368
"1385",1942,1901
"1386",1943,37
"1387",1945,1412
"1388",1946,138
"1389",1949,222
"1390",1950,354
"1391",1951,182
"1392",1952,10
"1393",1953,84
"1394",1954,174
"1395",1955,3
"1396",1956,142
"1397",1957,66
"1398",1958,2
"1399",1964,130
"1400",1966,4
"1401",1967,22
"1402",1971,1745
"1403",1972,71
"1404",1973,264
"1405",1974,245
"1406",1975,197
"1407",1976,294
"1408",1977,119
"1409",1978,75
"1410",1979,14
"1411",1981,18
"1412",1982,4
"1413",1984,235
"1414",1985,656
"1415",1986,375
"1416",1988,201
"1417",1989,148
"1418",1990,14
"1419",1991,78
"1420",1992,2426
"1421",1993,88
"1422",1995,36
"1423",1999,413
"1424",2001,127
"1425",2002,2
"1426",2003,118
"1427",2004,2
"1428",2007,2
"1429",2009,21
"1430",2011,30
"1431",2015,10
"1432",2016,44
"1433",2017,9
"1434",2018,42
"1435",2019,102
"1436",2020,27
"1437",2021,36
"1438",2023,8
"1439",2026,20
"1440",2027,1243
"1441",2029,14
"1442",2030,113
"1443",2031,10
"1444",2032,161
"1445",2033,20
"1446",2035,38
"1447",2038,1
"1448",2039,2453
"1449",2040,883
"1450",2041,558
"1451",2042,111
"1452",2043,65
"1453",2044,7
"1454",2045,37
"1455",2046,84
"1456",2047,12
"1457",2048,12
"1458",2049,2
"1459",2053,299
"1460",2054,562
"1461",2055,586
"1462",2056,69
"1463",2057,6
"1464",2058,25
"1465",2059,4
"1466",2060,1201
"1467",2062,4
"1468",2063,4
"1469",2065,335
"1470",2066,3
"1471",2069,81
"1472",2072,2
"1473",2075,11
"1474",2076,2330
"1475",2077,625
"1476",2078,671
"1477",2079,51
"1478",2081,16
"1479",2082,17
"1480",2084,205
"1481",2085,1
"1482",2086,138
"1483",2087,6
"1484",2088,4
"1485",2090,1075
"1486",2091,164
"1487",2092,4
"1488",2093,2
"1489",2094,2
"1490",2095,48
"1491",2096,98
"1492",2097,765
"1493",2099,2
"1494",2100,137
"1495",2101,19
"1496",2104,48
"1497",2106,5
"1498",2107,225
"1499",2108,1321
"1500",2109,62
"1501",2110,37
"1502",2112,2
"1503",2114,151
"1504",2115,1483
"1505",2118,4
"1506",2119,160
"1507",2121,578
"1508",2122,657
"1509",2123,16
"1510",2124,173
"1511",2127,8
"1512",2129,15
"1513",2130,20
"1514",2131,34
"1515",2133,14
"1516",2134,4
"1517",2135,165
"1518",2136,1
"1519",2138,57
"1520",2139,3999
"1521",2140,4
"1522",2141,171
"1523",2142,16
"1524",2146,4
"1525",2147,11
"1526",2148,71
"1527",2150,1044
"1528",2152,27
"1529",2153,28
"1530",2154,121
"1531",2155,390
"1532",2156,70
"1533",2158,199
"1534",2159,2
"1535",2160,40
"1536",2161,12
"1537",2162,4
"1538",2163,3
"1539",2165,2054
"1540",2166,410
"1541",2167,1405
"1542",2168,7
"1543",2171,26
"1544",2172,152
"1545",2175,38
"1546",2176,508
"1547",2177,54
"1548",2178,3
"1549",2180,129
"1550",2181,309
"1551",2182,3163
"1552",2184,6
"1553",2186,3
"1554",2188,31
"1555",2189,2
"1556",2190,58
"1557",2191,118
"1558",2193,1
"1559",2195,172
"1560",2196,2
"1561",2197,14
"1562",2198,101
"1563",2200,8
"1564",2202,1
"1565",2203,306
"1566",2204,1466
"1567",2205,359
"1568",2206,170
"1569",2207,7
"1570",2208,47
"1571",2209,4
"1572",2211,3
"1573",2212,20
"1574",2214,16
"1575",2215,51
"1576",2216,58
"1577",2217,4
"1578",2218,6
"1579",2222,2229
"1580",2223,47
"1581",2224,1888
"1582",2225,13
"1583",2226,40
"1584",2228,4
"1585",2231,281
"1586",2233,16
"1587",2234,42
"1588",2236,13
"1589",2241,432
"1590",2242,1
"1591",2243,14
"1592",2244,6
"1593",2245,5
"1594",2247,2
"1595",2248,90
"1596",2249,30
"1597",2250,67
"1598",2251,2
"1599",2252,29
"1600",2253,377
"1601",2254,70
"1602",2255,68
"1603",2256,2
"1604",2257,35
"1605",2259,345
"1606",2260,327
"1607",2262,2
"1608",2263,4
"1609",2264,3593
"1610",2265,605
"1611",2266,326
"1612",2267,32
"1613",2269,133
"1614",2270,132
"1615",2271,1
"1616",2273,6
"1617",2274,103
"1618",2275,41
"1619",2276,14
"1620",2277,55
"1621",2279,71
"1622",2280,8
"1623",2281,1913
"1624",2282,18
"1625",2283,2
"1626",2285,27
"1627",2287,74
"1628",2289,59
"1629",2290,1845
"1630",2291,191
"1631",2292,2
"1632",2293,20
"1633",2296,41
"1634",2297,139
"1635",2299,662
"1636",2301,2376
"1637",2302,6
"1638",2303,618
"1639",2304,246
"1640",2305,139
"1641",2306,88
"1642",2308,16
"1643",2309,163
"1644",2310,6
"1645",2312,2
"1646",2313,9
"1647",2314,28
"1648",2315,11
"1649",2316,188
"1650",2317,412
"1651",2318,181
"1652",2319,29
"1653",2320,15
"1654",2322,10
"1655",2323,443
"1656",2324,7
"1657",2325,20
"1658",2326,85
"1659",2327,1967
"1660",2328,1
"1661",2329,546
"1662",2330,12
"1663",2331,3943
"1664",2332,50
"1665",2333,6
"1666",2335,4
"1667",2337,26
"1668",2338,1380
"1669",2339,519
"1670",2340,1361
"1671",2341,241
"1672",2342,194
"1673",2343,51
"1674",2344,2
"1675",2345,75
"1676",2346,203
"1677",2347,1152
"1678",2349,448
"1679",2350,378
"1680",2351,149
"1681",2352,37
"1682",2354,31
"1683",2356,2
"1684",2357,1534
"1685",2359,205
"1686",2360,362
"1687",2362,22
"1688",2366,2
"1689",2368,7
"1690",2369,18
"1691",2371,127
"1692",2374,2
"1693",2375,21
"1694",2379,6
"1695",2380,1
"1696",2382,3870
"1697",2383,795
"1698",2385,23
"1699",2386,52
"1700",2387,111
"1701",2388,2
"1702",2389,6
"1703",2390,262
"1704",2391,8
"1705",2392,964
"1706",2395,22
"1707",2396,9
"1708",2398,201
"1709",2399,3
"1710",2400,94
"1711",2401,5
"1712",2402,72
"1713",2404,4
"1714",2405,1160
"1715",2407,517
"1716",2408,18
"1717",2409,25
"1718",2410,338
"1719",2411,134
"1720",2413,110
"1721",2414,148
"1722",2415,48
"1723",2416,29
"1724",2417,3
