Width,Height,Color,Text
20,20,l0r0, -100% - -60%
20,20,l0r1, -60% - -35%
20,20,l0r2, -35% - -20%
20,20,l0r3, -20% - 20%
20,20,l0r4, 20% - 35%
20,20,l0r5, 35% - 60%
20,20,l0r6, 60% - 800%
