N_Name,Difference,Burglary_2,Burglary_3,OBJECTID
Kalorama Heights Adams Morgan Lanier Heights,114.286,15,7,57
Kalorama Heights Adams Morgan Lanier Heights,36.3636,15,11,58
Kalorama Heights Adams Morgan Lanier Heights,12.5,9,8,59
Kalorama Heights Adams Morgan Lanier Heights,0,8,8,60
Lamond Riggs Fort Totten Pleasant Hill,-25,6,8,143
Lamond Riggs Fort Totten Pleasant Hill,-50,3,6,146
Lamond Riggs Fort Totten Pleasant Hill,0,3,3,147
Lamond Riggs Fort Totten Pleasant Hill,-37.5,5,8,148
Mayfair Hillbrook Mahaning Heights,-42.4242,19,33,112
Mayfair Hillbrook Mahaning Heights,-63.6364,4,11,151
N Michigan Park Michigan Park University Heights,-86.1111,5,36,144
N Michigan Park Michigan Park University Heights,-15,17,20,145
N Michigan Park Michigan Park University Heights,-94.4444,1,18,149
Near Southeast Navy Yard,-40.9091,13,22,90
Near Southeast Navy Yard,160,13,5,91
No Cluster,0,2,2,37
No Cluster,100,2,1,80
No Cluster,100,1,0,92
No Cluster,-46.6667,8,15,177
NoMa Union Station Stanton Park Kingman Park,16.6667,28,24,118
NoMa Union Station Stanton Park Kingman Park,-7.14286,13,14,119
NoMa Union Station Stanton Park Kingman Park,-86.6667,2,15,120
NoMa Union Station Stanton Park Kingman Park,-83.3333,2,12,121
NoMa Union Station Stanton Park Kingman Park,16.6667,7,6,122
NoMa Union Station Stanton Park Kingman Park,33.3333,4,3,123
NoMa Union Station Stanton Park Kingman Park,27.2727,14,11,124
NoMa Union Station Stanton Park Kingman Park,71.4286,12,7,125
NoMa Union Station Stanton Park Kingman Park,-37.5,5,8,126
NoMa Union Station Stanton Park Kingman Park,-6.66667,14,15,127
NoMa Union Station Stanton Park Kingman Park,0,25,25,174
North Cleveland Park Forest Hills Van Ness,-18.1818,9,11,18
North Cleveland Park Forest Hills Van Ness,0,1,1,19
North Cleveland Park Forest Hills Van Ness,0,3,3,20
River Terrace Benning Greenway Fort Dupont,16.2162,43,37,108
River Terrace Benning Greenway Fort Dupont,-30.9524,29,42,110
River Terrace Benning Greenway Fort Dupont,44.4444,13,9,152
River Terrace Benning Greenway Fort Dupont,-11.1111,8,9,153
Shaw Logan Circle,-51.5152,16,33,68
Shaw Logan Circle,30,13,10,69
Shaw Logan Circle,-38.8889,11,18,70
Shaw Logan Circle,175,11,4,71
Shaw Logan Circle,44.4444,13,9,72
Shaw Logan Circle,800,9,1,73
Shaw Logan Circle,54.1667,37,24,74
Sheridan Barry Farm Buena Vista,-72.093,12,43,94
Sheridan Barry Farm Buena Vista,-25.9259,20,27,97
Sheridan Barry Farm Buena Vista,-43.4783,13,23,98
Southwest/Waterfront Fort McNair Buzzard Point,16.6667,7,6,81
Southwest/Waterfront Fort McNair Buzzard Point,-62.5,3,8,170
Southwest/Waterfront Fort McNair Buzzard Point,-50,4,8,173
Southwest/Waterfront Fort McNair Buzzard Point,-33.3333,2,3,178
