date	2016	2015	2014
0930	7444	6941	6619
1001	5022	5913	7159
1002	1542	4656	6786
1003	9578	2974	5993
1004	11620	895	3427
1005	13178	5586	1014
1006	12950	6556	5246
1007	10840	7780	6703
1008	4762	7474	7068
1009	1104	6280	7106
1010	360	2552	4346
1011	9274	944	2701
1012	11596	168	758
1013	12110	5513	116
1014	10242	6939	5442
1015	4266	6642	5602
1016	974	5211	6503
1017	9724	2545	5780
1018	12070	1010	2924
1019	12138	5093	990
1020	13264	6923	5003
1021	10996	7089	6571
1022	6284	7018	4848
1023	1058	5612	6050
1024	10168	2824	5722
1025	11192	815	2977
1026	12222	5504	788
1027	11046	6854	5332
1028	8366	5740	6128
1029	5234	6735	6787
1030	1044	4788	7159
1031	7778	2837	5070
1101	10074	953	3064
1102	11422	5382	852
1103	10246	6381	5033
1104	9898	6806	6142
1105	5200	6747	6636
1106	1126	6299	6090
1107	7932	2814	6347
1108	10346	1150	2695
1109	7008	5093	1046
1110	8652	5544	4031
1111	146	240	153
1112	3566	6432	5878
1113	604	6186	4430
1114	7644	3221	6027
1115	10562	1012	3083
1116	10290	5176	1018
1117	11350	6165	3424
1118	10214	6655	5087
1119	3812	5623	6317
1120	396	6512	5951
1121	7512	2836	5685
1122	10022	1075	3069
1123	6904	5100	732
1124	22	6084	4717
1125	40	4362	5513
1126	2514	54	3913
1127	490	203	50
1128	6666	1869	4860
1129	9274	673	2547
1130	6664	4040	712
1201	9400	5845	4175
1202	10514	6366	4588
1203	3942	6663	6613
1204	954	6399	4847
1205	8502	2821	5863
1206	7900	1146	2532
1207	10266	5590	1084
1208	9702	5331	4658
1209	8136	6731	5216
1210	3302	6744	6252
1211	1224	5654	6116
1212	8144	2382	5204
1213	10720	1170	2705
1214	9570	5090	983
1215	2240	6446	4663
1216	6442	6408	4802
1217	1968	6071	6101
1218	1110	5310	2164
1219	8068	2196	5438
1220	9062	939	2740
1221	9372	4884	849
1222	9226	5691	4060
1223	6368	4328	4900
1224	2236	2952	3685
1225	216	2	42
1226	228	1261	77
1227	6204	846	2281
1228	8344	3991	643
1229	8572	5112	4124
1230	6364	5211	5501
1231	2056	3270	4356
