Width,Height,Color,Text
20,20,l0r0,No Trips to USDI
20,20,l0r1, 0.00% - 0.20% 
20,20,l0r2, 0.20% - 0.50% 
20,20,l0r3, 0.50% - 1.00% 
20,20,l0r4, 1.00% - 2.50% 
20,20,l0r5, 2.50% - 3.50% 
20,20,l0r6, 3.50% - 5.00% 
20,20,l0r7, 5.00% - 63.86% 
